Priekšmets,Skola,Kopvērtējums
ANG12,Ādažu vidusskola,62.30%
MAT12,Ādažu vidusskola,45.80%
LAT12,Ādažu vidusskola,62.10%
ANG12,Āgenskalna Valsts ģimnāzija,76.20%
MAT12,Āgenskalna Valsts ģimnāzija,70.90%
LAT12,Āgenskalna Valsts ģimnāzija,72.50%
ANG12,Aglonas internātvidusskola,52.60%
MAT12,Aglonas internātvidusskola,67.40%
LAT12,Aglonas internātvidusskola,61.40%
ANG12,Aglonas vidusskola,60.30%
MAT12,Aglonas vidusskola,51.00%
LAT12,Aglonas vidusskola,66.90%
ANG12,Aizkraukles 1. vidusskola,59.70%
MAT12,Aizkraukles 1. vidusskola,49.30%
LAT12,Aizkraukles 1. vidusskola,55.40%
ANG12,Aizkraukles novada ģimnāzija,64.60%
MAT12,Aizkraukles novada ģimnāzija,56.40%
LAT12,Aizkraukles novada ģimnāzija,65.90%
ANG12,Aizkraukles Profesionālā vidusskola,25.20%
MAT12,Aizkraukles Profesionālā vidusskola,36.40%
LAT12,Aizkraukles Profesionālā vidusskola,34.20%
ANG12,Aizkraukles Profesionālā vidusskola IPĪV Viesīte,34.60%
MAT12,Aizkraukles Profesionālā vidusskola IPĪV Viesīte,22.90%
LAT12,Aizkraukles Profesionālā vidusskola IPĪV Viesīte,46.80%
ANG12,Aizkraukles Vakara (maiņu) vidusskola,42.60%
MAT12,Aizkraukles Vakara (maiņu) vidusskola,26.20%
LAT12,Aizkraukles Vakara (maiņu) vidusskola,44.60%
ANG12,Aizputes novada Neklātienes vidusskolas Aizputes konsult. punkts,29.80%
MAT12,Aizputes novada Neklātienes vidusskolas Aizputes konsult. punkts,18.50%
LAT12,Aizputes novada Neklātienes vidusskolas Aizputes konsult. punkts,46.80%
ANG12,Aizputes novada Neklātienes vidusskolas Cīravas konsult. punkts,32.10%
MAT12,Aizputes novada Neklātienes vidusskolas Cīravas konsult. punkts,30.60%
LAT12,Aizputes novada Neklātienes vidusskolas Cīravas konsult. punkts,45.90%
ANG12,Aizputes novada Neklātienes vidusskolas Grobiņas konsult. punkts,35.10%
MAT12,Aizputes novada Neklātienes vidusskolas Grobiņas konsult. punkts,23.10%
LAT12,Aizputes novada Neklātienes vidusskolas Grobiņas konsult. punkts,46.80%
ANG12,Aizputes novada Neklātienes vidusskolas Nīcas konsultpunkts,27.10%
MAT12,Aizputes novada Neklātienes vidusskolas Nīcas konsultpunkts,17.10%
LAT12,Aizputes novada Neklātienes vidusskolas Nīcas konsultpunkts,47.10%
ANG12,Aizputes vidusskola,51.00%
MAT12,Aizputes vidusskola,53.70%
LAT12,Aizputes vidusskola,55.20%
ANG12,Aknīstes vidusskola,54.70%
MAT12,Aknīstes vidusskola,46.60%
LAT12,Aknīstes vidusskola,62.50%
ANG12,Alfrēda Kalniņa Cēsu Mūzikas vidusskola,52.70%
MAT12,Alfrēda Kalniņa Cēsu Mūzikas vidusskola,42.10%
LAT12,Alfrēda Kalniņa Cēsu Mūzikas vidusskola,65.00%
ANG12,Alojas Ausekļa vidusskola,55.00%
MAT12,Alojas Ausekļa vidusskola,39.80%
LAT12,Alojas Ausekļa vidusskola,60.20%
ANG12,Alsungas vidusskola,56.70%
MAT12,Alsungas vidusskola,41.70%
LAT12,Alsungas vidusskola,64.60%
ANG12,Alūksnes novada vidusskola,45.10%
MAT12,Alūksnes novada vidusskola,22.60%
LAT12,Alūksnes novada vidusskola,52.80%
ANG12,Andreja Upīša Skrīveru vidusskola,59.20%
MAT12,Andreja Upīša Skrīveru vidusskola,50.90%
LAT12,Andreja Upīša Skrīveru vidusskola,68.30%
ANG12,Apguldes arodvidusskola,27.10%
MAT12,Apguldes arodvidusskola,13.60%
LAT12,Apguldes arodvidusskola,36.80%
ANG12,Ata Kronvalda Durbes vidusskola,38.70%
MAT12,Ata Kronvalda Durbes vidusskola,31.30%
LAT12,Ata Kronvalda Durbes vidusskola,48.70%
ANG12,Auces vidusskola,49.30%
MAT12,Auces vidusskola,50.60%
LAT12,Auces vidusskola,59.20%
ANG12,Augstkalnes vidusskola,44.60%
MAT12,Augstkalnes vidusskola,45.00%
LAT12,Augstkalnes vidusskola,62.20%
ANG12,Babītes vidusskola,61.70%
MAT12,Babītes vidusskola,51.90%
LAT12,Babītes vidusskola,68.40%
ANG12,Baldones vidusskola,54.90%
MAT12,Baldones vidusskola,38.30%
LAT12,Baldones vidusskola,62.90%
ANG12,Baložu vidusskola,58.10%
MAT12,Baložu vidusskola,27.00%
LAT12,Baložu vidusskola,52.50%
ANG12,Baltinavas vidusskola,58.70%
MAT12,Baltinavas vidusskola,52.10%
LAT12,Baltinavas vidusskola,57.90%
ANG12,Balvu AMAT12niecības vidusskola,43.80%
MAT12,Balvu AMAT12niecības vidusskola,34.80%
LAT12,Balvu AMAT12niecības vidusskola,49.50%
ANG12,Balvu Valsts ģimnāzija,60.10%
MAT12,Balvu Valsts ģimnāzija,59.50%
LAT12,Balvu Valsts ģimnāzija,61.80%
ANG12,Barkavas arodvidusskola,29.00%
MAT12,Barkavas arodvidusskola,46.50%
LAT12,Barkavas arodvidusskola,53.10%
ANG12,Bauskas 2. vidusskola,51.10%
MAT12,Bauskas 2. vidusskola,35.70%
LAT12,Bauskas 2. vidusskola,49.60%
ANG12,Bauskas Valsts ģimnāzija,64.70%
MAT12,Bauskas Valsts ģimnāzija,56.10%
LAT12,Bauskas Valsts ģimnāzija,62.50%
ANG12,Bebrenes Profesionālā vidusskola,47.80%
MAT12,Bebrenes Profesionālā vidusskola,34.50%
LAT12,Bebrenes Profesionālā vidusskola,47.90%
ANG12,Bebrenes vidusskola,49.30%
MAT12,Bebrenes vidusskola,44.40%
LAT12,Bebrenes vidusskola,55.20%
ANG12,Bēnes vidusskola,40.00%
MAT12,Bēnes vidusskola,25.40%
LAT12,Bēnes vidusskola,56.60%
ANG12,Bērzpils vidusskola,61.60%
MAT12,Bērzpils vidusskola,68.20%
LAT12,Bērzpils vidusskola,72.60%
ANG12,Biznesa un vadības privātvidusskola,56.80%
MAT12,Biznesa un vadības privātvidusskola,34.80%
LAT12,Biznesa un vadības privātvidusskola,56.20%
ANG12,Brāļu Skrindu Atašienes vidusskola,43.20%
MAT12,Brāļu Skrindu Atašienes vidusskola,29.60%
LAT12,Brāļu Skrindu Atašienes vidusskola,45.60%
ANG12,Brocēnu vidusskola,57.40%
MAT12,Brocēnu vidusskola,37.10%
LAT12,Brocēnu vidusskola,60.10%
ANG12,Burtnieku Ausekļa vidusskola,52.60%
MAT12,Burtnieku Ausekļa vidusskola,52.40%
LAT12,Burtnieku Ausekļa vidusskola,59.90%
ANG12,Cēsu 2. vakara (maiņu) vidusskola,25.70%
MAT12,Cēsu 2. vakara (maiņu) vidusskola,17.50%
LAT12,Cēsu 2. vakara (maiņu) vidusskola,33.60%
ANG12,Cēsu 2. vidusskola,43.90%
MAT12,Cēsu 2. vidusskola,28.00%
LAT12,Cēsu 2. vidusskola,48.10%
ANG12,Cēsu 2. vidusskolas Vecpiebalgas konsultpunkts,36.10%
MAT12,Cēsu 2. vidusskolas Vecpiebalgas konsultpunkts,23.10%
LAT12,Cēsu 2. vidusskolas Vecpiebalgas konsultpunkts,51.30%
ANG12,Cēsu Profesionālā vidusskola,32.40%
MAT12,Cēsu Profesionālā vidusskola,19.60%
LAT12,Cēsu Profesionālā vidusskola,34.10%
ANG12,Cēsu Valsts ģimnāzija,69.80%
MAT12,Cēsu Valsts ģimnāzija,64.10%
LAT12,Cēsu Valsts ģimnāzija,71.40%
ANG12,Cesvaines vidusskola,57.00%
MAT12,Cesvaines vidusskola,48.10%
LAT12,Cesvaines vidusskola,57.90%
ANG12,Ciblas vidusskola,41.30%
MAT12,Ciblas vidusskola,26.00%
LAT12,Ciblas vidusskola,54.50%
ANG12,Cīravas arodvidusskola,34.90%
MAT12,Cīravas arodvidusskola,33.30%
LAT12,Cīravas arodvidusskola,39.50%
ANG12,Dagdas arodvidusskola,22.40%
MAT12,Dagdas arodvidusskola,36.50%
LAT12,Dagdas arodvidusskola,41.60%
ANG12,Dagdas vidusskola,56.50%
MAT12,Dagdas vidusskola,60.00%
LAT12,Dagdas vidusskola,54.40%
ANG12,Daugavpils 10. vidusskola,51.70%
MAT12,Daugavpils 10. vidusskola,57.50%
LAT12,Daugavpils 10. vidusskola,44.00%
ANG12,Daugavpils 12. vidusskola,59.40%
MAT12,Daugavpils 12. vidusskola,54.30%
LAT12,Daugavpils 12. vidusskola,53.80%
ANG12,Daugavpils 13. vidusskola,48.70%
MAT12,Daugavpils 13. vidusskola,65.60%
LAT12,Daugavpils 13. vidusskola,45.00%
ANG12,Daugavpils 15. vidusskola,51.50%
MAT12,Daugavpils 15. vidusskola,56.30%
LAT12,Daugavpils 15. vidusskola,47.90%
ANG12,Daugavpils 16. vidusskola,43.70%
MAT12,Daugavpils 16. vidusskola,53.20%
LAT12,Daugavpils 16. vidusskola,40.10%
ANG12,Daugavpils 17. vidusskola,40.50%
MAT12,Daugavpils 17. vidusskola,32.40%
LAT12,Daugavpils 17. vidusskola,34.40%
ANG12,Daugavpils 3. vidusskola,58.10%
MAT12,Daugavpils 3. vidusskola,67.20%
LAT12,Daugavpils 3. vidusskola,47.70%
ANG12,Daugavpils 9. vidusskola,62.70%
MAT12,Daugavpils 9. vidusskola,62.50%
LAT12,Daugavpils 9. vidusskola,45.00%
