Novads,Skolas kods,Skola,Priekšmets,Kopvērtējums
1,131403,Aglonas vidusskola,ANG12,61.00%
1,131403,Aglonas vidusskola,MAT12,63.55%
1,131403,Aglonas vidusskola,LAT12,65.59%
1,171404,Viduslatgales Profesionālā vidusskola Jaunaglona,ANG12,36.38%
1,171404,Viduslatgales Profesionālā vidusskola Jaunaglona,MAT12,41.63%
1,171404,Viduslatgales Profesionālā vidusskola Jaunaglona,LAT12,42.11%
1,181401,Aglonas internātvidusskola,ANG12,46.00%
1,181401,Aglonas internātvidusskola,MAT12,57.50%
1,181401,Aglonas internātvidusskola,LAT12,59.90%
2,233301,Aizkraukles 1. vidusskola,ANG12,65.17%
2,233301,Aizkraukles 1. vidusskola,MAT12,48.45%
2,233301,Aizkraukles 1. vidusskola,LAT12,53.91%
2,241306,Aizkraukles Vakara (maiņu) vidusskola,ANG12,53.00%
2,241306,Aizkraukles Vakara (maiņu) vidusskola,MAT12,17.80%
2,241306,Aizkraukles Vakara (maiņu) vidusskola,LAT12,48.52%
2,251303,Aizkraukles novada ģimnāzija,ANG12,67.40%
2,251303,Aizkraukles novada ģimnāzija,MAT12,51.38%
2,251303,Aizkraukles novada ģimnāzija,LAT12,67.12%
2,271309,Aizkraukles Profesionālā vidusskola,ANG12,32.18%
2,271309,Aizkraukles Profesionālā vidusskola,MAT12,21.40%
2,271309,Aizkraukles Profesionālā vidusskola,LAT12,40.66%
3,331306,Aizputes vidusskola,ANG12,49.38%
3,331306,Aizputes vidusskola,MAT12,39.91%
3,331306,Aizputes vidusskola,LAT12,53.91%
3,341302,Aizputes novada Neklātienes vidusskolas Aizputes konsult. punkts,ANG12,19.22%
3,341302,Aizputes novada Neklātienes vidusskolas Aizputes konsult. punkts,MAT12,15.89%
3,341302,Aizputes novada Neklātienes vidusskolas Aizputes konsult. punkts,LAT12,36.50%
3,341314,Aizputes novada Neklātienes vidusskolas Grobiņas konsult. punkts,MAT12,14.75%
