Skola,skkods,Priekšmets,Kopvērtējums
Ādažu vidusskola,1133301,ANG12,65.30%
Ādažu vidusskola,1133301,MAT12,55.59%
Ādažu vidusskola,1133301,LAT12,56.57%
Āgenskalna Valsts ģimnāzija,8761103,ANG12,79.10%
Āgenskalna Valsts ģimnāzija,8761103,MAT12,69.09%
Āgenskalna Valsts ģimnāzija,8761103,LAT12,78.76%
Aglonas internātvidusskola,181401,ANG12,29.55%
Aglonas internātvidusskola,181401,MAT12,21.25%
Aglonas internātvidusskola,181401,LAT12,55.92%
Aglonas Katoļu ģimnāzija,151402,MAT12,46.25%
Aglonas Katoļu ģimnāzija,151402,LAT12,60.55%
Aglonas vidusskola,131403,ANG12,60.31%
Aglonas vidusskola,131403,MAT12,54.44%
Aglonas vidusskola,131403,LAT12,65.35%
Aizkraukles 1. vidusskola,233301,ANG12,52.97%
Aizkraukles 1. vidusskola,233301,MAT12,37.58%
Aizkraukles 1. vidusskola,233301,LAT12,43.19%
Aizkraukles novada ģimnāzija,251303,ANG12,64.15%
Aizkraukles novada ģimnāzija,251303,MAT12,50.08%
Aizkraukles novada ģimnāzija,251303,LAT12,60.52%
Aizkraukles Profesionālā vidusskola,271309,ANG12,31.80%
Aizkraukles Profesionālā vidusskola,271309,MAT12,34.67%
Aizkraukles Profesionālā vidusskola,271309,LAT12,34.52%
Aizkraukles Vakara (maiņu) vidusskola,241306,ANG12,46.36%
Aizkraukles Vakara (maiņu) vidusskola,241306,MAT12,26.40%
Aizkraukles Vakara (maiņu) vidusskola,241306,LAT12,44.05%
Aizputes novada Neklātienes vidusskolas Aizputes konsult. punkts,341302,ANG12,58.50%
Aizputes novada Neklātienes vidusskolas Aizputes konsult. punkts,341302,MAT12,38.75%
Aizputes novada Neklātienes vidusskolas Aizputes konsult. punkts,341302,LAT12,49.62%
Aizputes novada Neklātienes vidusskolas Cīravas konsult. punkts,341403,ANG12,28.18%
Aizputes novada Neklātienes vidusskolas Cīravas konsult. punkts,341403,MAT12,28.33%
Aizputes novada Neklātienes vidusskolas Cīravas konsult. punkts,341403,LAT12,40.33%
Aizputes novada Neklātienes vidusskolas Grobiņas konsult. punkts,341314,ANG12,27.58%
