Skola,skolas kods,Priekšmets,Kopvērtējums,Kārtotāju skaits
Aglonas vidusskola,131403,MAT12,69.87%,10
Aglonas vidusskola,131403,ANG12,60.70%,10
Aglonas vidusskola,131403,LAT12,59.43%,10
Aglonas Katoļu ģimnāzija,151402,MAT12,56.25%,1
Aglonas Katoļu ģimnāzija,151402,LAT12,41.47%,1
Viduslatgales Profesionālā vidusskola Jaunaglona,171404,ANG12,31.54%,2
Viduslatgales Profesionālā vidusskola Jaunaglona,171404,LAT12,24.43%,1
Viduslatgales Profesionālā vidusskola Jaunaglona,171404,MAT12,17.13%,10
Aglonas internātvidusskola,181401,LAT12,55.68%,4
Aglonas internātvidusskola,181401,MAT12,35.63%,4
Aglonas internātvidusskola,181401,ANG12,34.64%,4
Aizkraukles 1. vidusskola,233301,ANG12,58.98%,16
Aizkraukles 1. vidusskola,233301,MAT12,53.44%,16
Aizkraukles 1. vidusskola,233301,LAT12,49.78%,16
Aizkraukles Vakara (maiņu) vidusskola,241306,ANG12,44.62%,10
Aizkraukles Vakara (maiņu) vidusskola,241306,LAT12,42.70%,26
Aizkraukles Vakara (maiņu) vidusskola,241306,MAT12,19.72%,25
Aizkraukles novada ģimnāzija,251303,ANG12,65.17%,42
Aizkraukles novada ģimnāzija,251303,LAT12,62.05%,46
Aizkraukles novada ģimnāzija,251303,MAT12,56.07%,46
Aizkraukles Profesionālā vidusskola,271309,LAT12,29.01%,31
Aizkraukles Profesionālā vidusskola,271309,ANG12,25.03%,21
Aizkraukles Profesionālā vidusskola,271309,MAT12,21.40%,30
Aizputes vidusskola,331306,ANG12,55.79%,27
Aizputes vidusskola,331306,MAT12,55.62%,27
Aizputes vidusskola,331306,LAT12,48.04%,27
Aizputes novada Neklātienes vidusskolas Aizputes konsult. punkts,341302,ANG12,34.84%,7
Aizputes novada Neklātienes vidusskolas Aizputes konsult. punkts,341302,LAT12,32.13%,11
Aizputes novada Neklātienes vidusskolas Aizputes konsult. punkts,341302,MAT12,26.12%,10
Aizputes novada Neklātienes vidusskolas Grobiņas konsult. punkts,341314,ANG12,50.66%,1
Aizputes novada Neklātienes vidusskolas Grobiņas konsult. punkts,341314,LAT12,35.79%,7
Aizputes novada Neklātienes vidusskolas Grobiņas konsult. punkts,341314,MAT12,16.96%,7
Aizputes novada Neklātienes vidusskolas Cīravas konsult. punkts,341403,LAT12,32.70%,39
Aizputes novada Neklātienes vidusskolas Cīravas konsult. punkts,341403,ANG12,26.22%,18
Aizputes novada Neklātienes vidusskolas Cīravas konsult. punkts,341403,MAT12,22.76%,38
Aizputes novada Neklātienes vidusskolas Nīcas konsultpunkts,341404,LAT12,47.30%,4
Aizputes novada Neklātienes vidusskolas Nīcas konsultpunkts,341404,ANG12,36.36%,3
Aizputes novada Neklātienes vidusskolas Nīcas konsultpunkts,341404,MAT12,25.50%,5
Cīravas Profesionālā vidusskola,371408,LAT12,31.53%,18
Cīravas Profesionālā vidusskola,371408,MAT12,30.69%,20
Cīravas Profesionālā vidusskola,371408,ANG12,26.42%,18
Aknīstes vidusskola,431301,ANG12,73.47%,7
Aknīstes vidusskola,431301,MAT12,49.66%,13
Aknīstes vidusskola,431301,LAT12,49.38%,13
Alojas Ausekļa vidusskola,531301,ANG12,86.91%,1
Alojas Ausekļa vidusskola,531301,LAT12,81.81%,1
Alojas Ausekļa vidusskola,531301,MAT12,75.62%,1
Staiceles vidusskola,531304,LAT12,45.49%,13
Staiceles vidusskola,531304,ANG12,38.24%,10
Staiceles vidusskola,531304,MAT12,29.81%,13
Alsungas vidusskola,631301,ANG12,57.73%,5
Alsungas vidusskola,631301,LAT12,57.15%,5
Alsungas vidusskola,631301,MAT12,53.87%,5
Alūksnes novada vidusskola,731323,ANG12,56.75%,24
Alūksnes novada vidusskola,731323,LAT12,40.25%,33
Alūksnes novada vidusskola,731323,MAT12,34.54%,33
Liepnas vidusskola,731413,LAT12,40.29%,12
Liepnas vidusskola,731413,ANG12,36.43%,12
Liepnas vidusskola,731413,MAT12,25.31%,12
Ernsta Glika Alūksnes Valsts ģimnāzija,761309,LAT12,68.31%,58
Ernsta Glika Alūksnes Valsts ģimnāzija,761309,ANG12,66.24%,51
Ernsta Glika Alūksnes Valsts ģimnāzija,761309,MAT12,54.09%,58
Nītaures vidusskola,831405,LAT12,70.68%,5
Nītaures vidusskola,831405,ANG12,59.97%,3
Nītaures vidusskola,831405,MAT12,43.25%,5
Dāvja Ozoliņa Apes vidusskola,931301,LAT12,45.45%,6
Dāvja Ozoliņa Apes vidusskola,931301,ANG12,43.06%,4
Dāvja Ozoliņa Apes vidusskola,931301,MAT12,31.35%,6
Ojāra Vācieša Gaujienas vidusskola,931403,ANG12,56.62%,7
