Novada kods,Skola,Skolas kods,Priekšmets,Kopvērtējums,Kārtotāju skaits
1,Aglonas vidusskola,131403,ANG12,74.77%,10
1,Aglonas vidusskola,131403,LAT12,59.79%,13
1,Aglonas vidusskola,131403,MAT12,54.66%,13
1,Aglonas internātvidusskola,181401,ANG12,61.37%,2
1,Aglonas internātvidusskola,181401,LAT12,34.88%,5
1,Aglonas internātvidusskola,181401,MAT12,32.00%,5
2,Aizkraukles 1. vidusskola,233301,ANG12,61.54%,7
2,Aizkraukles 1. vidusskola,233301,LAT12,62.17%,7
2,Aizkraukles 1. vidusskola,233301,MAT12,31.78%,7
2,Aizkraukles Vakara (maiņu) vidusskola,241306,ANG12,57.94%,7
2,Aizkraukles Vakara (maiņu) vidusskola,241306,LAT12,45.39%,18
2,Aizkraukles Vakara (maiņu) vidusskola,241306,MAT12,26.64%,19
2,Aizkraukles novada ģimnāzija,251303,ANG12,75.31%,36
2,Aizkraukles novada ģimnāzija,251303,LAT12,63.78%,42
2,Aizkraukles novada ģimnāzija,251303,MAT12,42.53%,42
2,Aizkraukles Profesionālā vidusskola,271309,ANG12,36.27%,29
2,Aizkraukles Profesionālā vidusskola,271309,LAT12,31.81%,48
2,Aizkraukles Profesionālā vidusskola,271309,MAT12,15.10%,48
3,Aizputes vidusskola,331306,ANG12,68.24%,22
3,Aizputes vidusskola,331306,LAT12,57.92%,22
3,Aizputes vidusskola,331306,MAT12,49.00%,22
3,Aizputes novada Neklātienes vidusskolas Aizputes konsult. punkts,341302,ANG12,49.65%,8
3,Aizputes novada Neklātienes vidusskolas Aizputes konsult. punkts,341302,LAT12,42.18%,8
3,Aizputes novada Neklātienes vidusskolas Aizputes konsult. punkts,341302,MAT12,9.31%,10
3,Aizputes novada Neklātienes vidusskolas Grobiņas konsult. punkts,341314,ANG12,47.49%,8
3,Aizputes novada Neklātienes vidusskolas Grobiņas konsult. punkts,341314,LAT12,39.20%,10
3,Aizputes novada Neklātienes vidusskolas Grobiņas konsult. punkts,341314,MAT12,16.38%,10
3,Aizputes novada Neklātienes vidusskolas Cīravas konsult. punkts,341403,ANG12,28.43%,15
3,Aizputes novada Neklātienes vidusskolas Cīravas konsult. punkts,341403,LAT12,29.05%,31
3,Aizputes novada Neklātienes vidusskolas Cīravas konsult. punkts,341403,MAT12,7.06%,31
3,Aizputes novada Neklātienes vidusskolas Nīcas konsultpunkts,341404,ANG12,50.83%,2
3,Aizputes novada Neklātienes vidusskolas Nīcas konsultpunkts,341404,LAT12,15.91%,2
3,Aizputes novada Neklātienes vidusskolas Nīcas konsultpunkts,341404,MAT12,16.88%,2
3,Kandavas Lauksaimniecības tehnikums Cīravas teriotoriālā struktūrvienība,371408,ANG12,26.07%,21
3,Kandavas Lauksaimniecības tehnikums Cīravas teriotoriālā struktūrvienība,371408,LAT12,32.13%,29
3,Kandavas Lauksaimniecības tehnikums Cīravas teriotoriālā struktūrvienība,371408,MAT12,21.44%,33
4,Aknīstes vidusskola,431301,ANG12,62.10%,9
4,Aknīstes vidusskola,431301,LAT12,62.34%,15
4,Aknīstes vidusskola,431301,MAT12,33.37%,15
5,Alojas Ausekļa vidusskola,531301,ANG12,76.45%,7
5,Alojas Ausekļa vidusskola,531301,LAT12,67.77%,7
5,Alojas Ausekļa vidusskola,531301,MAT12,35.98%,7
5,Staiceles vidusskola,531304,ANG12,50.88%,5
5,Staiceles vidusskola,531304,LAT12,40.45%,5
5,Staiceles vidusskola,531304,MAT12,19.75%,5
6,Alsungas vidusskola,631301,ANG12,52.20%,8
6,Alsungas vidusskola,631301,LAT12,69.24%,8
6,Alsungas vidusskola,631301,MAT12,44.30%,8
7,Alūksnes novada vidusskola,731323,ANG12,50.26%,20
7,Alūksnes novada vidusskola,731323,LAT12,43.03%,31
7,Alūksnes novada vidusskola,731323,MAT12,21.61%,31
7,Liepnas vidusskola,731413,ANG12,21.33%,2
7,Liepnas vidusskola,731413,LAT12,41.25%,5
7,Liepnas vidusskola,731413,MAT12,9.50%,5
7,Ernsta Glika Alūksnes Valsts ģimnāzija,761309,ANG12,70.85%,49
7,Ernsta Glika Alūksnes Valsts ģimnāzija,761309,LAT12,61.54%,57
7,Ernsta Glika Alūksnes Valsts ģimnāzija,761309,MAT12,43.89%,57
8,Nītaures vidusskola,831405,ANG12,56.96%,2
8,Nītaures vidusskola,831405,LAT12,65.15%,3
8,Nītaures vidusskola,831405,MAT12,42.08%,3
9,Dāvja Ozoliņa Apes vidusskola,931301,ANG12,63.74%,8
9,Dāvja Ozoliņa Apes vidusskola,931301,LAT12,52.10%,10
9,Dāvja Ozoliņa Apes vidusskola,931301,MAT12,20.13%,10
9,Ojāra Vācieša Gaujienas vidusskola,931403,ANG12,49.78%,9
9,Ojāra Vācieša Gaujienas vidusskola,931403,LAT12,53.46%,10
9,Ojāra Vācieša Gaujienas vidusskola,931403,MAT12,30.81%,10
10,Auces vidusskola,1031301,ANG12,63.39%,25
10,Auces vidusskola,1031301,LAT12,50.94%,30
10,Auces vidusskola,1031301,MAT12,39.81%,30
10,Bēnes vidusskola,1031402,ANG12,60.14%,10
10,Bēnes vidusskola,1031402,LAT12,57.12%,11
10,Bēnes vidusskola,1031402,MAT12,26.87%,11
11,Privātā vidusskola Ādažu Brīvā Valdorfa skola,1131302,ANG12,71.69%,10
11,Privātā vidusskola Ādažu Brīvā Valdorfa skola,1131302,LAT12,65.62%,10
11,Privātā vidusskola Ādažu Brīvā Valdorfa skola,1131302,MAT12,39.06%,10
11,Ādažu vidusskola,1133301,ANG12,75.60%,29
11,Ādažu vidusskola,1133301,LAT12,60.51%,30
11,Ādažu vidusskola,1133301,MAT12,45.46%,30
12,Babītes vidusskola,1231402,ANG12,74.22%,19
12,Babītes vidusskola,1231402,LAT12,61.84%,19
12,Babītes vidusskola,1231402,MAT12,50.39%,19
13,Baldones vidusskola,1331302,ANG12,82.89%,19
13,Baldones vidusskola,1331302,LAT12,66.93%,21
13,Baldones vidusskola,1331302,MAT12,52.70%,22
14,Baltinavas vidusskola,1431302,ANG12,78.25%,5
14,Baltinavas vidusskola,1431302,LAT12,50.49%,8
14,Baltinavas vidusskola,1431302,MAT12,42.81%,8
15,Balvu profesionālā un vispārizglītojošā vidusskola,1531302,ANG12,48.90%,27
15,Balvu profesionālā un vispārizglītojošā vidusskola,1531302,LAT12,44.38%,36
15,Balvu profesionālā un vispārizglītojošā vidusskola,1531302,MAT12,28.50%,37
15,Bērzpils vidusskola,1531407,ANG12,72.34%,9
15,Bērzpils vidusskola,1531407,LAT12,54.77%,10
15,Bērzpils vidusskola,1531407,MAT12,48.50%,10
15,Tilžas vidusskola,1531415,ANG12,52.66%,8
15,Tilžas vidusskola,1531415,LAT12,63.35%,8
