"Novada 
kods",Skola,"Skolas 
kods",Priekšmets,Kopvērtējums,"Kārtotāju 
skaits"
1,Aglonas internātvidusskola,181401,MAT12,23.75%,4
1,Aglonas internātvidusskola,181401,LAT12,38.49%,4
1,Aglonas vidusskola,131403,ANG12,52.30%,12
1,Aglonas vidusskola,131403,MAT12,45.16%,19
1,Aglonas vidusskola,131403,LAT12,57.65%,19
2,Aizkraukles novada vidusskola,231303,ANG12,69.12%,33
2,Aizkraukles novada vidusskola,231303,MAT12,42.74%,37
2,Aizkraukles novada vidusskola,231303,LAT12,64.61%,37
2,Aizkraukles Profesionālā vidusskola,271309,ANG12,33.74%,34
2,Aizkraukles Profesionālā vidusskola,271309,MAT12,11.08%,53
2,Aizkraukles Profesionālā vidusskola,271309,LAT12,32.29%,52
2,Aizkraukles Vakara (maiņu) vidusskola,241306,ANG12,37.72%,11
2,Aizkraukles Vakara (maiņu) vidusskola,241306,MAT12,17.53%,22
2,Aizkraukles Vakara (maiņu) vidusskola,241306,LAT12,40.02%,23
3,Aizputes novada Neklātienes vidusskolas Aizputes konsult. punkts,341302,ANG12,51.00%,4
3,Aizputes novada Neklātienes vidusskolas Aizputes konsult. punkts,341302,MAT12,12.50%,5
3,Aizputes novada Neklātienes vidusskolas Aizputes konsult. punkts,341302,LAT12,38.06%,3
3,Aizputes novada Neklātienes vidusskolas Cīravas konsult. punkts,341403,ANG12,32.45%,15
3,Aizputes novada Neklātienes vidusskolas Cīravas konsult. punkts,341403,MAT12,19.90%,18
3,Aizputes novada Neklātienes vidusskolas Cīravas konsult. punkts,341403,LAT12,41.88%,18
3,Aizputes novada Neklātienes vidusskolas Grobiņas konsult. punkts,341314,ANG12,54.18%,5
3,Aizputes novada Neklātienes vidusskolas Grobiņas konsult. punkts,341314,MAT12,13.93%,7
3,Aizputes novada Neklātienes vidusskolas Grobiņas konsult. punkts,341314,LAT12,45.21%,7
3,Aizputes novada Neklātienes vidusskolas Nīcas konsultpunkts,341404,ANG12,41.13%,5
3,Aizputes novada Neklātienes vidusskolas Nīcas konsultpunkts,341404,MAT12,10.52%,6
3,Aizputes novada Neklātienes vidusskolas Nīcas konsultpunkts,341404,LAT12,34.41%,7
3,Aizputes vidusskola,331306,ANG12,67.19%,19
3,Aizputes vidusskola,331306,MAT12,36.59%,20
3,Aizputes vidusskola,331306,LAT12,57.81%,20
3,Kandavas Lauksaimniecības tehnikums Cīravas teriotoriālā struktūrvienība,371408,ANG12,36.89%,16
3,Kandavas Lauksaimniecības tehnikums Cīravas teriotoriālā struktūrvienība,371408,MAT12,12.00%,20
3,Kandavas Lauksaimniecības tehnikums Cīravas teriotoriālā struktūrvienība,371408,LAT12,45.36%,20
4,Aknīstes vidusskola,431301,ANG12,60.53%,14
4,Aknīstes vidusskola,431301,MAT12,31.95%,17
4,Aknīstes vidusskola,431301,LAT12,59.25%,17
5,Staiceles vidusskola,531304,ANG12,45.23%,8
5,Staiceles vidusskola,531304,MAT12,22.31%,10
5,Staiceles vidusskola,531304,LAT12,51.36%,10
6,Alsungas vidusskola,631301,ANG12,43.47%,3
6,Alsungas vidusskola,631301,MAT12,32.08%,3
6,Alsungas vidusskola,631301,LAT12,56.44%,3
7,Alūksnes novada vidusskola,731323,ANG12,55.88%,13
7,Alūksnes novada vidusskola,731323,MAT12,17.24%,19
7,Alūksnes novada vidusskola,731323,LAT12,49.73%,19
7,Ernsta Glika Alūksnes Valsts ģimnāzija,761309,ANG12,73.78%,40
7,Ernsta Glika Alūksnes Valsts ģimnāzija,761309,MAT12,52.93%,43
7,Ernsta Glika Alūksnes Valsts ģimnāzija,761309,LAT12,67.24%,43
7,Liepnas vidusskola,731413,ANG12,85.04%,2
7,Liepnas vidusskola,731413,MAT12,32.50%,4
7,Liepnas vidusskola,731413,LAT12,50.28%,4
8,Nītaures vidusskola,831405,ANG12,67.33%,3
8,Nītaures vidusskola,831405,MAT12,40.00%,3
8,Nītaures vidusskola,831405,LAT12,56.81%,4
9,Dāvja Ozoliņa Apes vidusskola,931301,ANG12,64.08%,4
9,Dāvja Ozoliņa Apes vidusskola,931301,MAT12,19.69%,6
9,Dāvja Ozoliņa Apes vidusskola,931301,LAT12,56.06%,6
10,Auces vidusskola,1031301,ANG12,68.50%,17
10,Auces vidusskola,1031301,MAT12,44.12%,20
10,Auces vidusskola,1031301,LAT12,61.19%,20
10,Bēnes vidusskola,1031402,ANG12,63.90%,9
10,Bēnes vidusskola,1031402,MAT12,24.79%,9
10,Bēnes vidusskola,1031402,LAT12,67.93%,9
11,Ādažu vidusskola,1133301,ANG12,68.63%,30
11,Ādažu vidusskola,1133301,MAT12,44.98%,33
11,Ādažu vidusskola,1133301,LAT12,60.07%,34
11,Privātā vidusskola Ādažu Brīvā Valdorfa skola,1131302,ANG12,78.30%,15
11,Privātā vidusskola Ādažu Brīvā Valdorfa skola,1131302,MAT12,34.42%,15
11,Privātā vidusskola Ādažu Brīvā Valdorfa skola,1131302,LAT12,65.34%,15
12,Babītes vidusskola,1231402,ANG12,80.16%,13
12,Babītes vidusskola,1231402,MAT12,56.75%,15
12,Babītes vidusskola,1231402,LAT12,64.16%,15
13,Baldones vidusskola,1331302,ANG12,64.00%,11
13,Baldones vidusskola,1331302,MAT12,33.69%,11
13,Baldones vidusskola,1331302,LAT12,54.64%,12
14,Baltinavas vidusskola,1431302,ANG12,65.64%,7
14,Baltinavas vidusskola,1431302,MAT12,22.11%,8
14,Baltinavas vidusskola,1431302,LAT12,58.38%,8
15,Balvu profesionālā un vispārizglītojošā vidusskola,1531302,ANG12,47.90%,18
15,Balvu profesionālā un vispārizglītojošā vidusskola,1531302,MAT12,32.86%,28
15,Balvu profesionālā un vispārizglītojošā vidusskola,1531302,LAT12,47.24%,28
15,Balvu Valsts ģimnāzija,1561305,ANG12,62.37%,42
15,Balvu Valsts ģimnāzija,1561305,MAT12,46.98%,43
15,Balvu Valsts ģimnāzija,1561305,LAT12,58.82%,43
15,Bērzpils vidusskola,1531407,ANG12,42.25%,7
15,Bērzpils vidusskola,1531407,MAT12,58.98%,8
15,Bērzpils vidusskola,1531407,LAT12,50.07%,8
15,Profesionālās izglītības kompetences centra Rīgas Valsts tehnikums Balvu teritoriālā struktūrvienība,1571312,ANG12,48.31%,5
15,Profesionālās izglītības kompetences centra Rīgas Valsts tehnikums Balvu teritoriālā struktūrvienība,1571312,MAT12,44.50%,5
15,Profesionālās izglītības kompetences centra Rīgas Valsts tehnikums Balvu teritoriālā struktūrvienība,1571312,LAT12,49.09%,5
15,Tilžas vidusskola,1531415,ANG12,58.19%,7
15,Tilžas vidusskola,1531415,MAT12,44.91%,7
15,Tilžas vidusskola,1531415,LAT12,52.43%,7
16,Bauskas 2. vidusskola,1631302,ANG12,48.28%,15
16,Bauskas 2. vidusskola,1631302,MAT12,21.73%,39
16,Bauskas 2. vidusskola,1631302,LAT12,45.58%,39
16,Bauskas Valsts ģimnāzija,1661301,ANG12,75.20%,47
16,Bauskas Valsts ģimnāzija,1661301,MAT12,46.55%,51
16,Bauskas Valsts ģimnāzija,1661301,LAT12,57.05%,52
16,Īslīces vidusskola,1631411,ANG12,50.01%,5
16,Īslīces vidusskola,1631411,MAT12,16.87%,5
16,Īslīces vidusskola,1631411,LAT12,45.34%,5
16,Uzvaras vidusskola,1631419,ANG12,70.74%,10
16,Uzvaras vidusskola,1631419,MAT12,46.44%,10
16,Uzvaras vidusskola,1631419,LAT12,59.54%,10
18,Brocēnu vidusskola,1831302,ANG12,63.26%,34
18,Brocēnu vidusskola,1831302,MAT12,40.52%,35
18,Brocēnu vidusskola,1831302,LAT12,60.34%,35
21,Cesvaines vidusskola,2131302,ANG12,72.16%,6
21,Cesvaines vidusskola,2131302,MAT12,38.39%,7
21,Cesvaines vidusskola,2131302,LAT12,66.55%,7
22,Alfrēda Kalniņa Cēsu Mūzikas vidusskola,2271302,ANG12,62.59%,13
