Novads,Skola,Priekšmets,Kopvērtējums,"Kārtotāju 
skaits"
101,Aglonas internātvidusskola,ANG12,58.82,2
101,Aglonas internātvidusskola,LAT12,50.91,5
101,Aglonas internātvidusskola,MAT12,44.5,5
101,Aglonas vidusskola,ANG12,71.92,13
101,Aglonas vidusskola,LAT12,64.68,19
101,Aglonas vidusskola,MAT12,59.21,19
102,Aizkraukles novada vidusskola,ANG12,74.32,37
102,Aizkraukles novada vidusskola,LAT12,58.84,39
102,Aizkraukles novada vidusskola,MAT12,36.78,39
102,Aizkraukles Profesionālā vidusskola (prof.),ANG12,32.8,48
102,Aizkraukles Profesionālā vidusskola (prof.),LAT12,36.36,50
102,Aizkraukles Profesionālā vidusskola (prof.),MAT12,14.86,52
102,Aizkraukles Vakara (maiņu) vidusskola,ANG12,53.4,11
102,Aizkraukles Vakara (maiņu) vidusskola,LAT12,45.82,17
102,Aizkraukles Vakara (maiņu) vidusskola,MAT12,20.66,17
103,Aizputes novada Neklātienes vidusskola,ANG12,39.45,24
103,Aizputes novada Neklātienes vidusskola,LAT12,41.99,33
103,Aizputes novada Neklātienes vidusskola,MAT12,19.08,36
103,Aizputes vidusskola,ANG12,66.72,31
103,Aizputes vidusskola,LAT12,59.7,30
103,Aizputes vidusskola,MAT12,40.92,30
103,Kandavas Lauksaimniecības tehnikums Cīravas teriotoriālā struktūrvienība (prof.) (strukt.),ANG12,35.94,18
103,Kandavas Lauksaimniecības tehnikums Cīravas teriotoriālā struktūrvienība (prof.) (strukt.),LAT12,34.61,22
103,Kandavas Lauksaimniecības tehnikums Cīravas teriotoriālā struktūrvienība (prof.) (strukt.),MAT12,17.01,23
104,Aknīstes vidusskola,ANG12,66.45,14
104,Aknīstes vidusskola,LAT12,62.58,15
104,Aknīstes vidusskola,MAT12,33.96,15
105,Alojas Ausekļa vidusskola,ANG12,75.49,11
105,Alojas Ausekļa vidusskola,LAT12,63.64,12
105,Alojas Ausekļa vidusskola,MAT12,44.22,12
105,Ģenerāļa Pētera Radziņa Staiceles Sporta profesionālā vidusskola (prof.),ANG12,65.77,2
105,Ģenerāļa Pētera Radziņa Staiceles Sporta profesionālā vidusskola (prof.),LAT12,47.02,4
105,Ģenerāļa Pētera Radziņa Staiceles Sporta profesionālā vidusskola (prof.),MAT12,25.94,4
105,Staiceles vidusskola,ANG12,46.94,6
105,Staiceles vidusskola,LAT12,52.84,8
105,Staiceles vidusskola,MAT12,18.12,8
106,Alsungas vidusskola,ANG12,64.73,3
106,Alsungas vidusskola,LAT12,75,3
106,Alsungas vidusskola,MAT12,38.12,3
107,Alūksnes novada vidusskola,ANG12,60.07,19
107,Alūksnes novada vidusskola,LAT12,52.45,29
107,Alūksnes novada vidusskola,MAT12,21.19,29
107,Ernsta Glika Alūksnes Valsts ģimnāzija,ANG12,72.79,45
107,Ernsta Glika Alūksnes Valsts ģimnāzija,LAT12,69.05,47
107,Ernsta Glika Alūksnes Valsts ģimnāzija,MAT12,45.65,47
107,Liepnas vidusskola,ANG12,15.33,1
107,Liepnas vidusskola,LAT12,44.46,4
107,Liepnas vidusskola,MAT12,8.75,4
109,Dāvja Ozoliņa Apes vidusskola,ANG12,38.43,1
109,Dāvja Ozoliņa Apes vidusskola,LAT12,60.23,3
109,Dāvja Ozoliņa Apes vidusskola,MAT12,16.67,3
110,Auces vidusskola,ANG12,60.4,17
110,Auces vidusskola,LAT12,65.34,15
110,Auces vidusskola,MAT12,50.96,15
110,Bēnes vidusskola,ANG12,66.71,10
110,Bēnes vidusskola,LAT12,63.22,11
110,Bēnes vidusskola,MAT12,26.08,11
111,Ādažu vidusskola,ANG12,74.75,37
111,Ādažu vidusskola,LAT12,58.03,36
111,Ādažu vidusskola,MAT12,45.68,36
111,Privātā vidusskola Ādažu Brīvā Valdorfa skola,ANG12,70.54,20
111,Privātā vidusskola Ādažu Brīvā Valdorfa skola,LAT12,58.78,20
111,Privātā vidusskola Ādažu Brīvā Valdorfa skola,MAT12,34.22,20
112,Babītes vidusskola,ANG12,70.98,15
112,Babītes vidusskola,LAT12,59.42,21
112,Babītes vidusskola,MAT12,28.99,21
113,Baldones vidusskola,ANG12,75.36,13
113,Baldones vidusskola,LAT12,67.69,14
113,Baldones vidusskola,MAT12,34.06,12
114,Baltinavas vidusskola,ANG12,63.84,7
114,Baltinavas vidusskola,LAT12,59.59,8
114,Baltinavas vidusskola,MAT12,45.7,8
115,Balvu profesionālā un vispārizglītojošā vidusskola (prof.),ANG12,44.73,32
115,Balvu profesionālā un vispārizglītojošā vidusskola (prof.),LAT12,38.49,42
115,Balvu profesionālā un vispārizglītojošā vidusskola (prof.),MAT12,33.94,42
115,Balvu Valsts ģimnāzija,ANG12,71.37,41
115,Balvu Valsts ģimnāzija,LAT12,71.04,43
115,Balvu Valsts ģimnāzija,MAT12,52.75,43
115,Bērzpils vidusskola,ANG12,43.48,10
115,Bērzpils vidusskola,LAT12,42.29,14
115,Bērzpils vidusskola,MAT12,50.94,14
115,Profesionālās izglītības kompetences centra Rīgas Valsts tehnikums Balvu teritoriālā struktūrvienība (prof.) (strukt.),ANG12,39.37,9
115,Profesionālās izglītības kompetences centra Rīgas Valsts tehnikums Balvu teritoriālā struktūrvienība (prof.) (strukt.),LAT12,44.09,10
115,Profesionālās izglītības kompetences centra Rīgas Valsts tehnikums Balvu teritoriālā struktūrvienība (prof.) (strukt.),MAT12,20.9,9
115,Tilžas vidusskola,ANG12,34.75,8
115,Tilžas vidusskola,LAT12,37.1,10
115,Tilžas vidusskola,MAT12,21.75,10
116,Bauskas 2. vidusskola,ANG12,62.79,23
116,Bauskas 2. vidusskola,LAT12,46.69,40
116,Bauskas 2. vidusskola,MAT12,31.86,42
116,Bauskas Valsts ģimnāzija,ANG12,79.92,48
116,Bauskas Valsts ģimnāzija,LAT12,68.95,52
116,Bauskas Valsts ģimnāzija,MAT12,49.93,52
116,Īslīces vidusskola,ANG12,69.41,11
116,Īslīces vidusskola,LAT12,59.59,17
116,Īslīces vidusskola,MAT12,27.35,17
116,Uzvaras vidusskola,ANG12,69.69,12
116,Uzvaras vidusskola,LAT12,68.99,12
116,Uzvaras vidusskola,MAT12,52.03,12
118,Brocēnu vidusskola,ANG12,64.33,29
118,Brocēnu vidusskola,LAT12,68.9,30
118,Brocēnu vidusskola,MAT12,32.67,30
121,Cesvaines vidusskola,ANG12,58.04,19
121,Cesvaines vidusskola,LAT12,57.98,21
121,Cesvaines vidusskola,MAT12,42.77,21
122,Alfrēda Kalniņa Cēsu Mūzikas vidusskola (prof.),ANG12,70.72,11
122,Alfrēda Kalniņa Cēsu Mūzikas vidusskola (prof.),LAT12,74.53,12
122,Alfrēda Kalniņa Cēsu Mūzikas vidusskola (prof.),MAT12,34.69,12
122,Cēsu 2. vakara (maiņu) vidusskola,ANG12,17.29,1
122,Cēsu 2. vakara (maiņu) vidusskola,LAT12,34.66,2
122,Cēsu 2. vakara (maiņu) vidusskola,MAT12,30.94,2
122,Cēsu Pilsētas vidusskola,ANG12,45.79,37
122,Cēsu Pilsētas vidusskola,LAT12,52.33,38
122,Cēsu Pilsētas vidusskola,MAT12,16.32,38
122,Cēsu Tehnoloģiju un Dizaina vidusskola (prof.),ANG12,44.69,39
122,Cēsu Tehnoloģiju un Dizaina vidusskola (prof.),LAT12,36.7,39
122,Cēsu Tehnoloģiju un Dizaina vidusskola (prof.),MAT12,17.68,39
122,Cēsu Valsts ģimnāzija,ANG12,81.19,73
122,Cēsu Valsts ģimnāzija,LAT12,75.33,75
122,Cēsu Valsts ģimnāzija,MAT12,53.52,75
122,Draudzīgā Aicinājuma Cēsu Valsts ģimnāzija,ANG12,74.14,38
122,Draudzīgā Aicinājuma Cēsu Valsts ģimnāzija,LAT12,65.51,40
122,Draudzīgā Aicinājuma Cēsu Valsts ģimnāzija,MAT12,40.56,40
123,Ciblas vidusskola,ANG12,66.32,5
123,Ciblas vidusskola,LAT12,64.6,10
123,Ciblas vidusskola,MAT12,30.94,10
124,Dagdas vidusskola,ANG12,63.87,14
124,Dagdas vidusskola,LAT12,55.24,31
124,Dagdas vidusskola,MAT12,30.97,31
124,Ezernieku vidusskola,ANG12,79.31,4
124,Ezernieku vidusskola,LAT12,63.92,10
124,Ezernieku vidusskola,MAT12,44.31,10
124,IPĪV_Dagda (prof.) (strukt.),ANG12,30.46,21
124,IPĪV_Dagda (prof.) (strukt.),LAT12,32.06,19
124,IPĪV_Dagda (prof.) (strukt.),MAT12,32.5,19
125,Malnavas koledžas izglītības programmu īstenošanas vieta Višķi (strukt.),ANG12,25.39,12
125,Malnavas koledžas izglītības programmu īstenošanas vieta Višķi (strukt.),LAT12,30.24,18
125,Malnavas koledžas izglītības programmu īstenošanas vieta Višķi (strukt.),MAT12,33.23,18
125,Salienas vidusskola,ANG12,34.16,8
125,Salienas vidusskola,LAT12,34.4,11
125,Salienas vidusskola,MAT12,54.2,11
125,Sventes vidusskola,ANG12,60.15,5
125,Sventes vidusskola,LAT12,33.42,32
125,Sventes vidusskola,MAT12,43.93,32
125,Špoģu vidusskola,ANG12,69.04,11
125,Špoģu vidusskola,LAT12,53.25,18
125,Špoģu vidusskola,MAT12,43.4,18
125,Vaboles vidusskola,ANG12,66.17,8
125,Vaboles vidusskola,LAT12,55.92,12
125,Vaboles vidusskola,MAT12,47.81,12
125,Zemgales vidusskola (Daugavpils novadā),ANG12,51.41,8
125,Zemgales vidusskola (Daugavpils novadā),LAT12,45.53,8
125,Zemgales vidusskola (Daugavpils novadā),MAT12,49.3,8
126,Daugavgrīvas cietums (strukt.),ANG12,34.51,13
126,Daugavgrīvas cietums (strukt.),LAT12,29.88,12
126,Daugavgrīvas cietums (strukt.),MAT12,24.17,12
126,Daugavpils 10. vidusskola,ANG12,56.66,44
126,Daugavpils 10. vidusskola,LAT12,46.07,44
126,Daugavpils 10. vidusskola,MAT12,45.85,42
126,Daugavpils 12. vidusskola,ANG12,57.63,33
126,Daugavpils 12. vidusskola,LAT12,58.91,37
126,Daugavpils 12. vidusskola,MAT12,41.43,38
126,Daugavpils 13. vidusskola,ANG12,62.61,31
126,Daugavpils 13. vidusskola,LAT12,42.05,30
126,Daugavpils 13. vidusskola,MAT12,45.3,31
126,Daugavpils 15. vidusskola,ANG12,62.24,26
126,Daugavpils 15. vidusskola,LAT12,54.17,26
126,Daugavpils 15. vidusskola,MAT12,52.96,26
126,Daugavpils 16. vidusskola,ANG12,50.45,31
126,Daugavpils 16. vidusskola,LAT12,36.77,31
126,Daugavpils 16. vidusskola,MAT12,24.98,31
126,Daugavpils 17. vidusskola,ANG12,40.97,25
126,Daugavpils 17. vidusskola,LAT12,35.88,32
126,Daugavpils 17. vidusskola,MAT12,27.4,30
126,Daugavpils 3. vidusskola,ANG12,65.16,43
126,Daugavpils 3. vidusskola,LAT12,51.15,43
126,Daugavpils 3. vidusskola,MAT12,66.51,43
126,Daugavpils 9. vidusskola,ANG12,73.64,27
126,Daugavpils 9. vidusskola,LAT12,50.48,27
126,Daugavpils 9. vidusskola,MAT12,55.05,27
126,Daugavpils Būvniecības tehnikums (prof.),ANG12,22.77,45
126,Daugavpils Būvniecības tehnikums (prof.),LAT12,18.8,49
126,Daugavpils Būvniecības tehnikums (prof.),MAT12,9.93,51
