Novads,Skola,Priekšmets,Kopvērtējums,Kārtotāju skaits
101,Aglonas Katoļu ģimnāzija,LAT12,74.7%,2
101,Aglonas Katoļu ģimnāzija,MAT12,47.2%,2
101,Aglonas vidusskola,ANG12,54.8%,11
101,Aglonas vidusskola,LAT12,57.0%,15
101,Aglonas vidusskola,MAT12,47.8%,15
102,Aizkraukles novada vidusskola,ANG12,66.9%,32
102,Aizkraukles novada vidusskola,LAT12,63.0%,35
102,Aizkraukles novada vidusskola,MAT12,42.1%,35
102,Aizkraukles Profesionālā vidusskola (prof.),ANG12,37.9%,37
102,Aizkraukles Profesionālā vidusskola (prof.),LAT12,32.8%,38
102,Aizkraukles Profesionālā vidusskola (prof.),MAT12,14.9%,36
102,Aizkraukles Vakara (maiņu) vidusskola,ANG12,64.1%,12
102,Aizkraukles Vakara (maiņu) vidusskola,LAT12,40.7%,24
102,Aizkraukles Vakara (maiņu) vidusskola,MAT12,15.1%,26
103,Aizputes novada Neklātienes vidusskola,ANG12,41.8%,27
103,Aizputes novada Neklātienes vidusskola,LAT12,38.6%,45
103,Aizputes novada Neklātienes vidusskola,MAT12,23.8%,45
103,Aizputes vidusskola,ANG12,60.6%,28
103,Aizputes vidusskola,LAT12,50.7%,27
103,Aizputes vidusskola,MAT12,32.0%,27
103,Kandavas Lauksaimniecības tehnikums Cīravas teriotoriālā struktūrvienība (prof.) (strukt.),ANG12,31.0%,28
103,Kandavas Lauksaimniecības tehnikums Cīravas teriotoriālā struktūrvienība (prof.) (strukt.),LAT12,25.8%,29
103,Kandavas Lauksaimniecības tehnikums Cīravas teriotoriālā struktūrvienība (prof.) (strukt.),MAT12,17.1%,30
104,Aknīstes vidusskola,ANG12,59.3%,9
104,Aknīstes vidusskola,LAT12,57.7%,13
104,Aknīstes vidusskola,MAT12,34.1%,13
105,Alojas Ausekļa vidusskola,ANG12,61.7%,11
105,Alojas Ausekļa vidusskola,LAT12,60.3%,12
105,Alojas Ausekļa vidusskola,MAT12,29.0%,12
105,Ģenerāļa Pētera Radziņa Staiceles Sporta profesionālā vidusskola (prof.),ANG12,41.4%,5
105,Ģenerāļa Pētera Radziņa Staiceles Sporta profesionālā vidusskola (prof.),LAT12,40.1%,8
105,Ģenerāļa Pētera Radziņa Staiceles Sporta profesionālā vidusskola (prof.),MAT12,20.1%,8
106,Alsungas vidusskola,ANG12,61.1%,14
106,Alsungas vidusskola,LAT12,62.6%,15
106,Alsungas vidusskola,MAT12,29.5%,15
107,Alūksnes novada vidusskola,ANG12,49.6%,14
107,Alūksnes novada vidusskola,LAT12,46.4%,21
107,Alūksnes novada vidusskola,MAT12,14.8%,21
107,Ernsta Glika Alūksnes Valsts ģimnāzija,ANG12,73.5%,34
107,Ernsta Glika Alūksnes Valsts ģimnāzija,LAT12,68.6%,38
107,Ernsta Glika Alūksnes Valsts ģimnāzija,MAT12,41.7%,38
107,Liepnas vidusskola,ANG12,21.8%,3
107,Liepnas vidusskola,LAT12,29.6%,6
107,Liepnas vidusskola,MAT12,7.1%,6
108,Nītaures vidusskola,ANG12,71.7%,10
108,Nītaures vidusskola,LAT12,64.3%,13
108,Nītaures vidusskola,MAT12,37.5%,13
