Novads,Skola,Kopvērtējums,Priekšmets
Aglonas novads,Priežmalas pamatskola,73.00%,ANG9
Aglonas novads,Rīgas un visas Latvijas Metropolīta Aleksandra (Kudrjašova) Grāveru pamatskola,47.00%,ANG9
Aglonas novads,Aglonas vidusskola,88.60%,ANG9
Aglonas novads,Aglonas internātvidusskola,77.00%,ANG9
Aizkraukles novads,Aizkraukles 1. vidusskola,62.46%,ANG9
Aizkraukles novads,Aizkraukles Vakara (maiņu) vidusskola,58.00%,ANG9
Aizkraukles novads,Aizkraukles novada ģimnāzija,73.36%,ANG9
Aizputes novads,Aizputes pagasta pamatskola,58.50%,ANG9
Aizputes novads,Apriķu pamatskola,43.50%,ANG9
Aizputes novads,Dzērves pamatskola,54.29%,ANG9
Aizputes novads,Kalvenes pamatskola,62.00%,ANG9
Aizputes novads,Māteru Jura Kazdangas pamatskola,47.65%,ANG9
Aizputes novads,Aizputes vidusskola,67.79%,ANG9
Aknīstes novads,Asares pamatskola,68.00%,ANG9
Aknīstes novads,Gārsenes pamatskola,55.86%,ANG9
Aknīstes novads,Aknīstes vidusskola,72.63%,ANG9
Alojas novads,Ozolmuižas pamatskola,39.50%,ANG9
Alojas novads,Puikules pamatskola,48.50%,ANG9
Alojas novads,Alojas Ausekļa vidusskola,67.33%,ANG9
Alojas novads,Staiceles vidusskola,57.85%,ANG9
Alsungas novads,Alsungas vidusskola,58.92%,ANG9
Alūksnes novads,Alūksnes novada Jaunannas pamatskola,53.40%,ANG9
Alūksnes novads,Bejas pamatskola,45.75%,ANG9
Alūksnes novads,Ilzenes pamatskola,62.86%,ANG9
Alūksnes novads,Jaunlaicenes pamatskola,60.33%,ANG9
Alūksnes novads,Malienas pamatskola,53.00%,ANG9
Alūksnes novads,Mālupes pamatskola,55.67%,ANG9
Alūksnes novads,Mārkalnes pamatskola,51.00%,ANG9
Alūksnes novads,Strautiņu pamatskola,68.50%,ANG9
Alūksnes novads,Ziemeru pamatskola,67.00%,ANG9
Alūksnes novads,Pededzes pamatskola,73.60%,ANG9
Alūksnes novads,Liepnas vidusskola,56.82%,ANG9
Alūksnes novads,Alūksnes novada vidusskola,69.54%,ANG9
Alūksnes novads,Ernsta Glika Alūksnes Valsts ģimnāzija,76.00%,ANG9
Alūksnes novads,Liepnas internātpamatskola,62.75%,ANG9
Amatas novads,Amatas pamatskola,58.22%,ANG9
Amatas novads,Sērmūkšu pamatskola,66.75%,ANG9
Amatas novads,Skujenes pamatskola,55.60%,ANG9
Amatas novads,Zaubes pamatskola,64.00%,ANG9
Amatas novads,Nītaures vidusskola,75.20%,ANG9
Amatas novads,Drabešu internātpamatskola,56.00%,ANG9
Apes novads,Sikšņu pamatskola,55.71%,ANG9
Apes novads,Trapenes pamatskola,54.00%,ANG9
Apes novads,Dāvja Ozoliņa Apes vidusskola,54.71%,ANG9
Apes novads,Ojāra Vācieša Gaujienas vidusskola,63.56%,ANG9
Apes novads,Gaujienas speciālā internātpamatskola,39.20%,ANG9
Auces novads,Auces vidusskola,54.13%,ANG9
Auces novads,Bēnes vidusskola,53.53%,ANG9
Ādažu novads,Privātā vidusskola Ādažu Brīvā Valdorfa skola,75.86%,ANG9
Ādažu novads,Ādažu vidusskola,70.07%,ANG9
Babītes novads,Babītes vidusskola,69.10%,ANG9
Baldones novads,Baldones Mūzikas pamatskola,75.62%,ANG9
Baldones novads,Baldones vidusskola,70.57%,ANG9
Baltinavas novads,Baltinavas vidusskola,80.00%,ANG9
Balvu novads,Briežuciema pamatskola,59.71%,ANG9
Balvu novads,Stacijas pamatskola,65.20%,ANG9
Balvu novads,Balvu pamatskola,58.00%,ANG9
Balvu novads,Balvu Amatniecības vidusskola,69.44%,ANG9
Balvu novads,Bērzpils vidusskola,69.63%,ANG9
Balvu novads,Tilžas vidusskola,59.90%,ANG9
Balvu novads,Bērzpils vidusskolas filiāle,48.00%,ANG9
Balvu novads,Tilžas vidusskolas filiāle,59.67%,ANG9
Balvu novads,Balvu Valsts ģimnāzija,67.02%,ANG9
Balvu novads,Tilžas internātpamatskola,47.25%,ANG9
Bauskas novads,Bauskas pilsētas pamatskola,71.50%,ANG9
Bauskas novads,Codes pamatskola,68.78%,ANG9
Bauskas novads,Griķu pamatskola,55.44%,ANG9
Bauskas novads,Mežgaļu pamatskola,81.78%,ANG9
Bauskas novads,Mežotnes pamatskola,67.86%,ANG9
Bauskas novads,Ozolaines pamatskola,76.33%,ANG9
Bauskas novads,Vecsaules pamatskola,69.40%,ANG9
Bauskas novads,Bauskas Valsts ģimnāzija,75.44%,ANG9
Bauskas novads,Īslīces vidusskola,60.36%,ANG9
Bauskas novads,Uzvaras vidusskola,81.38%,ANG9
Bauskas novads,Bauskas 2. vidusskola,63.35%,ANG9
Beverīnas novads,J. Endzelīna Kauguru pamatskola,66.00%,ANG9
Beverīnas novads,Trikātas pamatskola,64.83%,ANG9
Brocēnu novads,Blīdenes pamatskola,58.00%,ANG9
Brocēnu novads,Gaiķu pamatskola,50.20%,ANG9
Brocēnu novads,Remtes pamatskola,55.00%,ANG9
Brocēnu novads,Brocēnu vidusskola,63.00%,ANG9
