Novads,Nosaukums,Kopvērtējums,Priekšmets
Aglonas novads,Aglonas vidusskola,87.40%,ANG9
Aizkraukles novads,Aizkraukles 1. vidusskola,63.62%,ANG9
Aizkraukles novads,Aizkraukles Vakara (maiņu) vidusskola,74.75%,ANG9
Aizkraukles novads,Aizkraukles novada ģimnāzija,75.15%,ANG9
Aizputes novads,Apriķu pamatskola,38.43%,ANG9
Aizputes novads,Dzērves pamatskola,65.63%,ANG9
Aizputes novads,Kalvenes pamatskola,80.20%,ANG9
Aizputes novads,Māteru Jura Kazdangas pamatskola,64.38%,ANG9
Aizputes novads,Aizputes vidusskola,71.00%,ANG9
Aknīstes novads,Asares pamatskola,88.00%,ANG9
Aknīstes novads,Gārsenes pamatskola,77.00%,ANG9
Aknīstes novads,Aknīstes vidusskola,73.45%,ANG9
Alojas novads,Ozolmuižas pamatskola,79.00%,ANG9
Alojas novads,Alojas Ausekļa vidusskola,68.40%,ANG9
Alojas novads,Staiceles vidusskola,72.25%,ANG9
Alsungas novads,Alsungas vidusskola,58.73%,ANG9
Alūksnes novads,Bejas pamatskola,40.00%,ANG9
Alūksnes novads,Ilzenes pamatskola,46.60%,ANG9
Alūksnes novads,Jaunlaicenes pamatskola,52.50%,ANG9
Alūksnes novads,Malienas pamatskola,42.00%,ANG9
Alūksnes novads,Mārkalnes pamatskola,65.00%,ANG9
Alūksnes novads,Pededzes pamatskola,68.25%,ANG9
Alūksnes novads,Strautiņu pamatskola,67.33%,ANG9
Alūksnes novads,Ziemeru pamatskola,51.42%,ANG9
Alūksnes novads,Jaunannas Mūzikas un mākslas pamatskola,69.25%,ANG9
Alūksnes novads,Alūksnes novada vidusskola,54.71%,ANG9
Alūksnes novads,Liepnas vidusskola,77.00%,ANG9
Alūksnes novads,Ernsta Glika Alūksnes Valsts ģimnāzija,73.50%,ANG9
Alūksnes novads,Liepnas internātpamatskola,45.71%,ANG9
Amatas novads,Amatas pamatskola,66.13%,ANG9
Amatas novads,Skujenes pamatskola,80.50%,ANG9
Amatas novads,Zaubes pamatskola,52.50%,ANG9
Amatas novads,Nītaures vidusskola,77.83%,ANG9
Amatas novads,Drabešu internātpamatskola,51.22%,ANG9
Apes novads,Vidagas Sikšņu pamatskola,27.50%,ANG9
Apes novads,Trapenes pamatskola,65.50%,ANG9
Apes novads,Dāvja Ozoliņa Apes vidusskola,75.29%,ANG9
Apes novads,Ojāra Vācieša Gaujienas vidusskola,63.18%,ANG9
Apes novads,Gaujienas internātpamatskola,55.67%,ANG9
Auces novads,Auces vidusskola,68.19%,ANG9
Auces novads,Bēnes vidusskola,60.56%,ANG9
Ādažu novads,Privātā vidusskola Ādažu Brīvā Valdorfa skola,76.73%,ANG9
Ādažu novads,Ādažu vidusskola,75.88%,ANG9
Babītes novads,Babītes vidusskola,79.76%,ANG9
Baldones novads,Baldones Mūzikas pamatskola,78.82%,ANG9
Baldones novads,Baldones vidusskola,80.55%,ANG9
Baltinavas novads,Baltinavas vidusskola,74.50%,ANG9
Balvu novads,Stacijas pamatskola,51.83%,ANG9
Balvu novads,Balvu pamatskola,76.30%,ANG9
Balvu novads,Balvu profesionālā un vispārizglītojošā vidusskola,67.83%,ANG9
Balvu novads,Bērzpils vidusskola,59.33%,ANG9
Balvu novads,Tilžas vidusskola,40.63%,ANG9
Balvu novads,Tilžas vidusskolas Vectilžas filiāle,52.00%,ANG9
Balvu novads,Balvu Valsts ģimnāzija,69.37%,ANG9
Balvu novads,Tilžas internātpamatskola,56.50%,ANG9
Bauskas novads,Bauskas pilsētas pamatskola,79.30%,ANG9
Bauskas novads,Codes pamatskola,81.50%,ANG9
Bauskas novads,Griķu pamatskola,58.88%,ANG9
Bauskas novads,Jaunsaules pamatskola,83.75%,ANG9
Bauskas novads,Mežgaļu pamatskola,50.29%,ANG9
Bauskas novads,Mežotnes pamatskola,89.00%,ANG9
Bauskas novads,Ozolaines pamatskola,74.60%,ANG9
Bauskas novads,Vecsaules pamatskola,58.88%,ANG9
Bauskas novads,Bauskas 2. vidusskola,78.70%,ANG9
Bauskas novads,Īslīces vidusskola,70.50%,ANG9
Bauskas novads,Uzvaras vidusskola,81.27%,ANG9
Bauskas novads,Bauskas Valsts ģimnāzija,82.00%,ANG9
Bauskas novads,Mežotnes internātvidusskola,61.33%,ANG9
Beverīnas novads,J. Endzelīna Kauguru pamatskola,74.00%,ANG9
Beverīnas novads,Trikātas pamatskola,60.50%,ANG9
Brocēnu novads,Blīdenes pamatskola,66.43%,ANG9
Brocēnu novads,Gaiķu pamatskola,68.83%,ANG9
Brocēnu novads,Remtes pamatskola,45.67%,ANG9
Brocēnu novads,Brocēnu vidusskola,68.41%,ANG9
Burtnieku novads,Ēveles pamatskola,62.86%,ANG9
Burtnieku novads,Matīšu pamatskola,69.00%,ANG9
Burtnieku novads,Rencēnu pamatskola,77.50%,ANG9
Burtnieku novads,Burtnieku Ausekļa vidusskola,72.57%,ANG9
Carnikavas novads,Carnikavas pamatskola,83.44%,ANG9
Cesvaines novads,Cesvaines vidusskola,61.25%,ANG9
Cesvaines novads,Cesvaines internātpamatskola,43.75%,ANG9
Cēsu novads,Cēsu 1. pamatskola,75.41%,ANG9
Cēsu novads,Cēsu 2. pamatskola,77.05%,ANG9
Cēsu novads,Cēsu pilsētas pamatskola,69.22%,ANG9
Cēsu novads,Līvu pamatskola,88.00%,ANG9
Cēsu novads,Rāmuļu pamatskola,66.00%,ANG9
Cēsu novads,Cēsu 2. vidusskola,79.33%,ANG9
Cēsu novads,Cēsu 2. vakara (maiņu) vidusskola,44.00%,ANG9
Cēsu novads,Cēsu Valsts ģimnāzija,88.54%,ANG9
Cēsu novads,Draudzīgā Aicinājuma Cēsu Valsts ģimnāzija,81.63%,ANG9
Cēsu novads,Cēsu internātpamatskola - rehabilitācijas centrs,67.00%,ANG9
Ciblas novads,Pušmucovas pamatskola,92.00%,ANG9
Ciblas novads,Ciblas vidusskola,74.67%,ANG9
Dagdas novads,Andrupenes pamatskola,71.00%,ANG9
Dagdas novads,Asūnes pamatskola,82.50%,ANG9
Dagdas novads,Dagdas vidusskola,65.10%,ANG9
Dagdas novads,Ezernieku vidusskola,85.00%,ANG9
Daugavpils novads,Naujenes pamatskola,77.67%,ANG9
Daugavpils novads,Biķernieku pamatskola,55.67%,ANG9
Daugavpils novads,Tabores pamatskola,43.33%,ANG9
Daugavpils novads,Lāču pamatskola,43.11%,ANG9
Daugavpils novads,Silenes pamatskola,53.67%,ANG9
Daugavpils novads,Vaboles vidusskola,90.33%,ANG9
Daugavpils novads,Zemgales vidusskola,45.22%,ANG9
Daugavpils novads,Salienas vidusskola,60.88%,ANG9
Daugavpils novads,Špoģu vidusskola,69.88%,ANG9
Daugavpils pilsēta,Daugavpils Vienības pamatskola,73.00%,ANG9
Daugavpils pilsēta,Daugavpils 11. pamatskola,43.87%,ANG9
Daugavpils pilsēta,Daugavpils Saskaņas pamatskola,72.80%,ANG9
Daugavpils pilsēta,Daugavpils 12. vidusskola,72.38%,ANG9
Daugavpils pilsēta,Daugavpils 10. vidusskola,58.50%,ANG9
Daugavpils pilsēta,Daugavpils 15. vidusskola,53.02%,ANG9
Daugavpils pilsēta,Daugavpils 3. vidusskola,69.67%,ANG9
Daugavpils pilsēta,J. Raiņa Daugavpils 6. vidusskola,46.57%,ANG9
Daugavpils pilsēta,Daugavpils Centra vidusskola,54.61%,ANG9
Daugavpils pilsēta,Daugavpils 13. vidusskola,52.67%,ANG9
Daugavpils pilsēta,Daugavpils 16. vidusskola,55.67%,ANG9
Daugavpils pilsēta,Daugavpils 17. vidusskola,49.68%,ANG9
Daugavpils pilsēta,Daugavpils Krievu vidusskola - licejs,78.24%,ANG9
Daugavpils pilsēta,J.Pilsudska Daugavpils valsts poļu ģimnāzija,61.81%,ANG9
Daugavpils pilsēta,Daugavpils Valsts ģimnāzija,81.84%,ANG9
Daugavpils pilsēta,Daugavpils Būvniecības tehnikums,44.57%,ANG9
Daugavpils pilsēta,Daugavpils Profesionālā vidusskola,43.67%,ANG9
Daugavpils pilsēta,Daugavpils logopēdiskā internātpamatskola - attīstības centrs,43.70%,ANG9
Dobeles novads,Dobeles Kristīgā pamatskola,64.91%,ANG9
Dobeles novads,Bikstu pamatskola,45.75%,ANG9
Dobeles novads,Gardenes pamatskola,72.00%,ANG9
Dobeles novads,Mežinieku pamatskola,81.00%,ANG9
Dobeles novads,Penkules pamatskola,56.13%,ANG9
Dobeles novads,Dobeles 1. vidusskola,64.17%,ANG9
Dobeles novads,Dobeles Valsts ģimnāzija,76.76%,ANG9
Dobeles novads,Dobeles Amatniecības un vispārizglītojošā vidusskola,53.71%,ANG9
