Nosaukums,Skolas kods,Kopvērtējums,Skaits,Priekšmets
Aglonas vidusskola,131403,84.00%,4,ANG9
Aglonas internātvidusskola,181401,69.50%,2,ANG9
Aizkraukles 1. vidusskola,233301,65.67%,9,ANG9
Aizkraukles Vakara (maiņu) vidusskola,241306,54.33%,9,ANG9
Aizkraukles novada ģimnāzija,251303,76.91%,47,ANG9
Aizputes pagasta pamatskola,321405,77.36%,11,ANG9
Dzērves pamatskola,321409,69.14%,14,ANG9
Kalvenes pamatskola,321410,72.40%,5,ANG9
Māteru Jura Kazdangas pamatskola,321413,55.22%,9,ANG9
Aizputes vidusskola,331306,67.66%,44,ANG9
Aizputes novada Neklātienes vidusskolas Aizputes konsult. punkts,341302,44.50%,2,ANG9
Asares pamatskola,421402,67.00%,6,ANG9
Aknīstes vidusskola,431301,70.13%,8,ANG9
Ozolmuižas pamatskola,521402,51.75%,4,ANG9
Alojas Ausekļa vidusskola,531301,77.25%,8,ANG9
Staiceles vidusskola,531304,59.36%,14,ANG9
Alsungas vidusskola,631301,62.83%,18,ANG9
Bejas pamatskola,721408,57.67%,3,ANG9
Ilzenes pamatskola,721410,59.00%,1,ANG9
Jaunlaicenes pamatskola,721411,64.00%,4,ANG9
Malienas pamatskola,721414,52.50%,2,ANG9
Mālupes pamatskola,721415,33.50%,2,ANG9
Mārkalnes pamatskola,721416,42.75%,4,ANG9
Pededzes pamatskola,721417,61.33%,6,ANG9
Strautiņu pamatskola,721419,89.40%,5,ANG9
Ziemeru pamatskola,721422,57.20%,5,ANG9
Jaunannas Mūzikas un mākslas pamatskola,721429,76.50%,2,ANG9
Alūksnes novada vidusskola,731323,63.00%,8,ANG9
Liepnas vidusskola,731413,65.33%,3,ANG9
Ernsta Glika Alūksnes Valsts ģimnāzija,761309,79.39%,38,ANG9
Smiltenes tehnikums Alsviķu teritoriālā struktūrvienība,771401,63.50%,2,ANG9
Liepnas internātpamatskola,781412,43.00%,5,ANG9
Amatas pamatskola,821402,73.00%,7,ANG9
Sērmūkšu pamatskola,821406,89.00%,2,ANG9
Skujenes pamatskola,821407,60.33%,3,ANG9
Nītaures vidusskola,831405,79.33%,9,ANG9
Drabešu internātpamatskola,881403,37.40%,5,ANG9
Vidagas Sikšņu pamatskola,921404,74.17%,6,ANG9
Trapenes pamatskola,921405,63.80%,5,ANG9
Dāvja Ozoliņa Apes vidusskola,931301,59.82%,11,ANG9
Ojāra Vācieša Gaujienas vidusskola,931403,73.00%,7,ANG9
Gaujienas internātpamatskola,981402,42.43%,7,ANG9
Auces vidusskola,1031301,56.62%,34,ANG9
Bēnes vidusskola,1031402,59.11%,18,ANG9
Privātā vidusskola Ādažu Brīvā Valdorfa skola,1131302,80.82%,22,ANG9
Ādažu vidusskola,1133301,76.23%,64,ANG9
Babītes vidusskola,1231402,83.71%,52,ANG9
Baldones Mūzikas pamatskola,1321301,93.33%,3,ANG9
Baldones vidusskola,1331302,73.67%,27,ANG9
Baltinavas vidusskola,1431302,85.50%,4,ANG9
Bērzpils vidusskolas Krišjāņu filiāle,1521309,70.33%,3,ANG9
Briežuciema pamatskola,1521408,61.80%,5,ANG9
Stacijas pamatskola,1521413,83.00%,2,ANG9
Balvu pamatskola,1523303,71.00%,3,ANG9
Balvu profesionālā un vispārizglītojošā vidusskola,1531302,67.25%,4,ANG9
Bērzpils vidusskola,1531407,64.00%,5,ANG9
Tilžas vidusskola,1531415,67.50%,10,ANG9
Balvu Valsts ģimnāzija,1561305,75.36%,47,ANG9
Tilžas internātpamatskola,1581414,44.67%,3,ANG9
Bauskas pilsētas pamatskola,1621304,64.29%,17,ANG9
Codes pamatskola,1621408,57.25%,4,ANG9
Griķu pamatskola,1621410,75.89%,9,ANG9
Jaunsaules pamatskola,1621411,44.50%,4,ANG9
Mežgaļu pamatskola,1621413,61.20%,5,ANG9
Mežotnes pamatskola,1621415,70.00%,4,ANG9
Ozolaines pamatskola,1621416,58.14%,7,ANG9
Vecsaules pamatskola,1621420,74.00%,6,ANG9
Bauskas 2. vidusskola,1631302,70.40%,25,ANG9
Īslīces vidusskola,1631411,73.07%,15,ANG9
Uzvaras vidusskola,1631419,71.71%,7,ANG9
Bauskas Valsts ģimnāzija,1661301,79.86%,44,ANG9
Mežotnes internātvidusskola,1681414,51.00%,2,ANG9
J. Endzelīna Kauguru pamatskola,1721402,61.20%,10,ANG9
Trikātas pamatskola,1721403,70.00%,4,ANG9
Blīdenes pamatskola,1821401,63.50%,4,ANG9
Gaiķu pamatskola,1821403,73.50%,4,ANG9
Remtes pamatskola,1821404,64.00%,5,ANG9
Brocēnu vidusskola,1831302,69.36%,25,ANG9
Ēveles pamatskola,1921402,67.00%,2,ANG9
Matīšu pamatskola,1921403,73.17%,6,ANG9
Rencēnu pamatskola,1921404,67.83%,6,ANG9
Burtnieku Ausekļa vidusskola,1931401,69.50%,4,ANG9
Carnikavas pamatskola,2021301,82.29%,14,ANG9
Cesvaines vidusskola,2131302,69.79%,24,ANG9
Cesvaines internātpamatskola,2181301,39.00%,4,ANG9
Cēsu 1. pamatskola,2221303,83.50%,26,ANG9
Cēsu 2. pamatskola,2221304,73.54%,24,ANG9
Līvu pamatskola,2221415,66.67%,3,ANG9
Rāmuļu pamatskola,2221416,83.20%,5,ANG9
Cēsu Pilsētas vidusskola,2231306,66.26%,34,ANG9
Cēsu Valsts ģimnāzija,2261313,89.83%,42,ANG9
Draudzīgā Aicinājuma Cēsu Valsts ģimnāzija,2261314,79.92%,38,ANG9
