IzglītībasIestāde,Kopvērtējums,Kārtotāju skaits,Priekšmets
A. Spāģa Dunalkas pamatskola,45.33%,6,ANG9
Ābeļu pamatskola,58.50%,4,ANG9
Ādažu vidusskola,79.61%,70,ANG9
Āgenskalna Valsts ģimnāzija,88.38%,108,ANG9
Aglonas internātvidusskola,54.50%,2,ANG9
Aglonas vidusskola,82.08%,6,ANG9
Aizkraukles novada vidusskola,75.28%,50,ANG9
Aizkraukles Vakara (maiņu) vidusskola,55.75%,6,ANG9
Aizputes k/p (strukt.),65.00%,1,ANG9
Aizputes pagasta pamatskola,71.50%,9,ANG9
Aizputes vidusskola,74.53%,37,ANG9
Aizupes pamatskola,91.67%,3,ANG9
Aknīstes vidusskola,78.00%,7,ANG9
Allažu pamatskola,80.73%,11,ANG9
Alojas Ausekļa vidusskola,83.23%,15,ANG9
Alsungas vidusskola,72.00%,9,ANG9
Alūksnes novada vidusskola,60.86%,11,ANG9
Amatas novada Skujenes pamatskola,63.08%,6,ANG9
Amatas pamatskola,70.38%,8,ANG9
Ances pamatskola,64.67%,3,ANG9
Andreja Eglīša Ļaudonas vidusskola,81.00%,6,ANG9
Andreja Pumpura Rīgas 11. pamatskola,80.67%,30,ANG9
Andreja Upīša Skrīveru vidusskola,80.39%,23,ANG9
Andrupenes pamatskola,73.00%,2,ANG9
Annas Brigaderes pamatskola,48.80%,5,ANG9
Apriķu pamatskola,44.50%,1,ANG9
Ata Kronvalda Durbes vidusskola,83.32%,11,ANG9
Auces vidusskola,76.52%,26,ANG9
Audriņu pamatskola,54.30%,5,ANG9
Augstkalnes vidusskola,75.65%,10,ANG9
Babītes vidusskola,84.67%,46,ANG9
Baldones Mūzikas pamatskola,87.61%,9,ANG9
Baldones vidusskola,75.75%,26,ANG9
Baložu vidusskola,76.98%,22,ANG9
Baltinavas vidusskola,80.10%,5,ANG9
Balvu pamatskola,43.50%,3,ANG9
Balvu profesionālā un vispārizglītojošā vidusskola (prof.),67.94%,8,ANG9
Balvu Valsts ģimnāzija,72.69%,44,ANG9
Barkavas pamatskola,65.50%,7,ANG9
Baumaņu Kārļa Viļķenes pamatskola,69.14%,7,ANG9
Bauskas 2. vidusskola,68.88%,17,ANG9
Bauskas pilsētas pamatskola,68.92%,26,ANG9
Bauskas Valsts ģimnāzija,87.31%,42,ANG9
Bebrenes vispārizglītojošā un profesionālā vidusskola (prof.),72.25%,6,ANG9
Bebru pamatskola,58.75%,4,ANG9
Bejas pamatskola,71.72%,9,ANG9
Bēnes vidusskola,64.44%,18,ANG9
Berģu Mūzikas un mākslas pamatskola (prof.),86.38%,12,ANG9
Bērzaunes pamatskola,77.33%,3,ANG9
Bērzgales pamatskola (strukt.),94.88%,4,ANG9
Bērzpils vidusskola,71.40%,5,ANG9
Bikstu pamatskola,67.40%,5,ANG9
Biķernieku pamatskola,48.05%,11,ANG9
Bilskas pamatskola,64.08%,6,ANG9
Birzgales pamatskola,94.75%,4,ANG9
Biržu internātpamatskola,51.50%,2,ANG9
Biržu pamatskola,67.60%,5,ANG9
Blīdenes pamatskola,70.06%,8,ANG9
Blomes pamatskola,51.50%,5,ANG9
Brāļu Skrindu Atašienes vidusskola,84.25%,8,ANG9
Briežuciema pamatskola,69.00%,3,ANG9
Brocēnu vidusskola,73.58%,20,ANG9
Burtnieku Ausekļa pamatskola,69.00%,4,ANG9
Carnikavas pamatskola,76.17%,12,ANG9
Cēres pamatskola,71.67%,6,ANG9
Cēsu 1. pamatskola,87.21%,17,ANG9
Cēsu 2. pamatskola,79.96%,26,ANG9
Cēsu 2. vakara (maiņu) vidusskola,53.25%,2,ANG9
Cēsu internātpamatskola - rehabilitācijas centrs,82.75%,2,ANG9
Cēsu Pilsētas vidusskola,74.82%,31,ANG9
Cēsu Valsts ģimnāzija,89.87%,46,ANG9
Cesvaines internātpamatskola,38.58%,6,ANG9
Cesvaines vidusskola,66.43%,21,ANG9
Ciblas vidusskola,72.50%,1,ANG9
Codes pamatskola,66.00%,7,ANG9
Dagdas vidusskola,72.00%,9,ANG9
Daudzeses pamatskola,76.38%,4,ANG9
Daugavgrīvas cietums (strukt.),40.67%,6,ANG9
Daugavpils 10. vidusskola,63.11%,67,ANG9
Daugavpils 11. pamatskola,38.75%,20,ANG9
Daugavpils 12. vidusskola,72.10%,15,ANG9
Daugavpils 13. vidusskola,68.68%,41,ANG9
Daugavpils 15. vidusskola,56.43%,46,ANG9
Daugavpils 16. vidusskola,65.07%,43,ANG9
Daugavpils 17. vidusskola,51.89%,28,ANG9
Daugavpils 3. vidusskola,70.24%,56,ANG9
Daugavpils 9. vidusskola,66.30%,45,ANG9
Daugavpils Centra vidusskola,60.82%,34,ANG9
Daugavpils Krievu vidusskola - licejs,81.36%,59,ANG9
Daugavpils logopēdiskā internātpamatskola - attīstības centrs,50.00%,10,ANG9
Daugavpils Saskaņas pamatskola,70.87%,35,ANG9
Daugavpils Valsts ģimnāzija,72.04%,13,ANG9
Daugavpils Vienības pamatskola,75.50%,10,ANG9
Daugmales pamatskola,64.79%,12,ANG9
Dāvja Ozoliņa Apes vidusskola,63.27%,13,ANG9
Degumnieku pamatskola,61.20%,5,ANG9
Dekšāru pamatskola,76.92%,6,ANG9
Dignājas pamatskola,63.00%,3,ANG9
Dobeles 1. vidusskola,74.10%,26,ANG9
Dobeles Amatniecības un vispārizglītojošā vidusskola (prof.),69.30%,5,ANG9
Dobeles Kristīgā pamatskola,72.60%,5,ANG9
Dobeles Valsts ģimnāzija,83.44%,39,ANG9
Drabešu internātpamatskola,49.50%,2,ANG9
Draudzīgā Aicinājuma Cēsu Valsts ģimnāzija,81.34%,29,ANG9
Dravnieku pamatskola,78.00%,4,ANG9
Dricānu vidusskola,80.90%,5,ANG9
Drustu pamatskola,68.17%,3,ANG9
Druvienas pamatskola,64.65%,10,ANG9
Dunavas pamatskola,80.25%,2,ANG9
Dundagas vidusskola,75.43%,22,ANG9
Dzelzavas pamatskola,80.93%,15,ANG9
Dzērbenes vispārizglītojošā un mūzikas pamatskola (prof.),60.88%,4,ANG9
Dzērves pamatskola,69.80%,10,ANG9
Dzimtmisas pamatskola,83.94%,9,ANG9
Džūkstes pamatskola,61.81%,8,ANG9
Edgara Kauliņa Lielvārdes vidusskola,79.55%,38,ANG9
Ēdoles pamatskola,60.56%,8,ANG9
Elejas vidusskola,75.45%,11,ANG9
Emīla Dārziņa mūzikas vidusskola (prof.),82.64%,28,ANG9
Engures vidusskola,66.45%,22,ANG9
Ērgļu vidusskola,76.83%,15,ANG9
Ērģemes pamatskola,62.00%,4,ANG9
