Izglītības iestāde,Kopvērtējums,Kārtotāju skaits,Priekšmets
A. Spāģa Dunalkas pamatskola,68.50%,2,ANG9
Ābeļu pamatskola,69.50%,4,ANG9
Ādažu vidusskola,78.26%,116,ANG9
Āgenskalna Valsts ģimnāzija,85.56%,102,ANG9
Aglonas vidusskola,69.00%,2,ANG9
Aizkraukles novada vidusskola,71.20%,60,ANG9
Aizkraukles Vakara (maiņu) vidusskola,62.75%,4,ANG9
Aizputes novada Neklātienes vidusskola,64.75%,4,ANG9
Aizputes pagasta pamatskola,54.67%,9,ANG9
Aizputes vidusskola,76.10%,42,ANG9
Aizupes pamatskola,79.83%,12,ANG9
Aknīstes vidusskola,65.18%,11,ANG9
Allažu pamatskola,57.00%,9,ANG9
Alojas Ausekļa vidusskola,80.88%,17,ANG9
Alsungas vidusskola,73.11%,9,ANG9
Alūksnes novada vidusskola,58.36%,11,ANG9
Amatas novada Skujenes pamatskola,65.50%,2,ANG9
Amatas pamatskola,69.00%,4,ANG9
Ances pamatskola,77.43%,7,ANG9
Andreja Eglīša Ļaudonas vidusskola,70.84%,19,ANG9
Andreja Pumpura Rīgas 11. pamatskola,78.70%,27,ANG9
Andreja Upīša Skrīveru vidusskola,76.19%,21,ANG9
Andzeļu pamatskola,78.00%,2,ANG9
Annas Brigaderes pamatskola,66.00%,7,ANG9
Ata Kronvalda Durbes pamatskola,67.50%,12,ANG9
Auces vidusskola,63.71%,31,ANG9
Audriņu pamatskola,43.50%,2,ANG9
Augstkalnes vidusskola,74.40%,10,ANG9
Babītes vidusskola,80.62%,55,ANG9
Baldones Mūzikas pamatskola,82.20%,10,ANG9
Baldones vidusskola,79.45%,20,ANG9
Baložu vidusskola,66.35%,23,ANG9
Baltinavas vidusskola,70.90%,10,ANG9
Balvu pamatskola,53.67%,6,ANG9
Balvu profesionālā un vispārizglītojošā vidusskola,54.25%,8,ANG9
Balvu Valsts ģimnāzija,71.65%,37,ANG9
Barkavas pamatskola,60.20%,5,ANG9
Bārtas pamatskola,74.20%,5,ANG9
Baumaņu Kārļa Viļķenes pamatskola,71.33%,6,ANG9
Bauskas 2. vidusskola,73.23%,26,ANG9
"Bauskas novada pašvaldības vispārējās izglītības iestāde ""Īslīces pamatskola""",67.53%,15,ANG9
"Bauskas novada pašvaldības vispārējās izglītības iestāde ""Uzvaras pamatskola""",82.00%,8,ANG9
Bauskas pilsētas pamatskola,66.38%,21,ANG9
Bauskas Valsts ģimnāzija,78.67%,52,ANG9
Bebrenes vispārizglītojošā un profesionālā vidusskola,76.00%,8,ANG9
Bebru pamatskola,68.00%,3,ANG9
Bejas pamatskola,62.67%,3,ANG9
Bēnes vidusskola,64.83%,12,ANG9
Berģu Mūzikas un mākslas pamatskola,79.59%,17,ANG9
Bērzaunes pamatskola,78.20%,5,ANG9
Bērzgales pamatskola,79.00%,1,ANG9
Bērzpils vidusskola,55.00%,1,ANG9
"Biedrības ""Tautskola 99 Baltie zirgi"" pamatskola",96.00%,1,ANG9
Biķernieku pamatskola,53.00%,6,ANG9
Bikstu pamatskola,60.67%,3,ANG9
Bilskas pamatskola,41.00%,1,ANG9
Birzgales pamatskola,72.80%,10,ANG9
Biržu pamatskola,67.00%,6,ANG9
Blīdenes pamatskola,62.50%,12,ANG9
Blomes pamatskola,79.00%,4,ANG9
Brāļu Skrindu Atašienes vidusskola,78.38%,8,ANG9
