School_Name|Reg_nr|Language|Address|Year|Number_of_students|Active
Krustpils pamatskola|1012900275|Latviešu|MADONAS IELA 48, JĒKABPILS, LV-5202|2009|216|1
Jēkabpils Poļu pamatskola|1012900274|Poļu|RŪDOLFA BLAUMAŅA IELA 27, JĒKABPILS, LV-5201|2009|88|1
Jēkabpils pamatskola|1012902246|Latviešu|RĪGAS IELA 200a, JĒKABPILS, LV-5202|2009|621|1
Jēkabpils Valsts ģimnāzija|1019900257|Latviešu|BLAUMAŅA IELA 27, JĒKABPILS, LV-5200|2009|575|1
Jēkabpils 2. vidusskola|1013900258|Krievu|JAUNĀ IELA 44, JĒKABPILS, LV-5201|2009|710|1
Jēkabpils 3. vidusskola|1013900259|Latviešu|SLIMNĪCAS IELA 5, JĒKABPILS, LV-5202|2009|721|1
Dienas apmācības klases pie Jēkabpils vakara vidusskolas|1014900264|LK|PALEJAS IELA 32, JĒKABPILS, LV-5202|2009|18|1
Valmieras Pārgaujas pamatskola|2512902432|Latviešu|MEŽA IELA 12, VALMIERA, LV-4201|2009|504|1
Valmieras pamatskola|2512902507|Latviešu|RĪGAS IELA 42, VALMIERA, LV-4201|2009|415|1
Valmieras Valsts ģimnāzija|2519902526|Latviešu|LEONA PAEGLES IELA 40, VALMIERA, LV-4201|2009|603|1
Valmieras 2. vidusskola|2513901058|LK|RAIŅA IELA 11, VALMIERA, LV-4201|2009|327|1
Valmieras Viestura vidusskola|2513900631|Latviešu|VIESTURA ALEJA 3, VALMIERA, LV-4202|2009|777|1
Valmieras Pārgaujas ģimnāzija|2513900630|Latviešu|ZVAIGŽŅU IELA 4, VALMIERA, LV-4201|2009|711|1
Valmieras 5. vidusskola|2513901081|Latviešu|RAIŅA IELA 3, VALMIERA, LV-4201|2009|589|1
Valmieras vājdzirdīgo bērnu internātpamatskola - attīstības centrs|2520901175|Latviešu|LĀČPLĒŠA IELA 2, VALMIERA, LV-4201|2009|130|1
Daugavpils Saskaņas pamatskola|2712901237|LK|SAULES IELA 7, DAUGAVPILS, LV-5400|2009|452|1
Daugavpils 7. pamatskola|2712901226|Krievu|Šuņu 1, DAUGAVPILS, LV-5405|2009|199|1
Daugavpils 8. pamatskola|2712901225|Krievu|ŪDENS IELA 24, DAUGAVPILS, LV-5408|2009|132|1
Daugavpils 5. pamatskola|2712901236|Krievu|PARĀDES IELA 7, DAUGAVPILS, LV-5400|2009|424|1
Daugavpils Vienības pamatskola|2712902233|Latviešu|ĢIMNĀZIJAS IELA 32, DAUGAVPILS, LV-5401|2009|477|1
Daugavpils 11. pamatskola|2712902175|Krievu|ARHITEKTU IELA 10, DAUGAVPILS, LV-5410|2009|252|1
Daugavpils Valsts ģimnāzija|2719902518|Latviešu|CIETOKŠŅA IELA 33, DAUGAVPILS, LV-5403|2009|354|1
Daugavpils Krievu vidusskola - licejs|2713901229|Krievu|TAUTAS IELA 59, DAUGAVPILS, LV-5404|2009|645|1
Daugavpils 3. vidusskola|2713901037|Krievu|RAIŅA IELA 30, DAUGAVPILS, LV-5403|2009|656|1
J. Raiņa Daugavpils 6. vidusskola|2713901222|Krievu|KOMUNĀLĀ IELA 2, DAUGAVPILS, LV-5418|2009|398|1
Daugavpils 9. vidusskola|2713901238|Krievu|18. NOVEMBRA IELA 47, DAUGAVPILS, LV-5400|2009|642|1
