Teritoriālā vienība,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Rīgas reģions,687443,673433,659418,649853,643615,643368,641007,639630,641423,637971,632614
Pierīgas reģions,374535,373918,371952,370128,369987,367038,367609,366347,364954,367266,370589
Vidzemes reģions,224147,218208,211995,208728,205949,201915,199027,195998,191794,188494,186095
Kurzemes reģions,285968,279287,271143,266433,262755,258034,254722,251088,246317,243032,240113
Zemgales reģions,267725,261584,255111,251495,248845,244875,242150,239356,235417,232759,230331
Latgales reģions,323016,314074,304986,298176,292674,286238,281581,276538,270211,264857,260226
Rīga,687443,673433,659418,649853,643615,643368,641007,639630,641423,637971,632614
Daugavpils,98662,95962,93588,90879,89184,87403,86435,85858,84592,83250,82604
Jelgava,62404,60923,59640,58332,57773,57332,57180,57053,56743,56383,55972
Jēkabpils,25743,25233,24672,24182,23834,23269,23019,22750,22412,22188,22076
Jūrmala,52522,51749,50952,50196,50481,49750,49646,49182,48606,49073,49325
Liepāja,80678,78913,76910,74812,73469,71926,71125,70630,69443,69180,68945
Rēzekne,34444,33456,32422,31378,30756,29948,29317,28692,28174,28156,27820
Valmiera,26397,25888,25226,24656,24228,23657,23432,23248,22961,23063,23125
Ventspils,40676,39881,38824,38000,37336,36677,36274,35903,35362,34855,34377
Aglonas novads,4262,4132,3958,3887,3800,3731,3669,3567,3436,3309,3191
Aizkraukles novads,9453,9277,9013,8859,8733,8592,8484,8397,8256,8130,8036
Aizkraukle,8274,8109,7856,7640,7487,7426,7315,7241,7132,7098,7010
Aizputes novads,9965,9675,9286,9219,9150,9023,8883,8686,8534,8355,8192
Aizpute,4932,4773,4561,4520,4492,4458,4389,4287,4237,4155,4073
Aknīstes novads,3109,3057,2978,2930,2897,2878,2836,2776,2791,2557,2492
Aknīste,1162,1152,1143,1123,1106,1087,1074,1061,1036,1031,1019
Alojas novads,5792,5569,5335,5273,5197,5088,5000,4889,4785,4680,4630
Aloja,1298,1272,1238,1236,1219,1187,1174,1153,1120,1122,1110
Staicele,1088,1063,1032,1009,986,981,953,915,899,877,854
Alsungas novads,1573,1525,1476,1472,1458,1452,1416,1382,1345,1322,1289
Alūksnes novads,18258,17712,17227,16749,16418,15972,15648,15381,14896,14472,14153
Alūksne,8506,8283,8082,7808,7612,7426,7295,7182,6930,6784,6692
Amatas novads,6060,5882,5687,5655,5589,5462,5388,5337,5163,5003,4983
Apes novads,4106,3984,3841,3779,3718,3643,3579,3528,3415,3345,3295
Ape,1053,1018,984,969,954,943,927,901,876,850,842
Auces novads,7941,7671,7371,7217,7093,6879,6762,6605,6413,6289,6153
Auce,2880,2759,2641,2569,2534,2461,2418,2358,2343,2333,2304
Ādažu novads,9588,9855,10032,10030,10092,10238,10414,10524,10735,11184,11391
Babītes novads,9049,9219,9403,9381,9515,9630,9800,9825,10119,10350,10704
Baldones novads,5428,5443,5486,5502,5473,5400,5435,5416,5373,5485,5468
Baldone,2255,2277,2315,2322,2294,2288,2305,2290,3766,3801,3788
Baltinavas novads,1277,1238,1182,1155,1137,1112,1085,1054,1036,1000,963
Balvu novads,14967,14643,14199,13879,13609,13301,13031,12688,12342,12129,11977
Balvi,7609,7454,7197,7011,6854,6753,6659,6470,6334,6135,6073
Bauskas novads,27161,26397,25630,25258,24946,24615,24308,23930,23387,23061,22784
Bauska,10025,9786,9538,9398,9286,9200,9061,8868,8700,8515,8405
Beverīnas novads,3434,3374,3274,3282,3299,3231,3186,3140,3051,3006,2949
Brocēnu novads,6827,6626,6267,6093,5981,5828,5785,5674,5558,5622,5634
Brocēni,3274,3200,3114,3006,2947,2892,2881,2838,2779,2840,2862
Burtnieku novads,8712,8523,8334,8224,8162,8128,8112,8150,7977,7584,7485
Carnikavas novads,6427,6570,6723,6775,6780,6788,6805,6858,8334,8626,8738
Cesvaines novads,2939,2881,2814,2785,2774,2697,2617,2560,2497,2422,2339
Cesvaine,1635,1610,1579,1555,1548,1502,1477,1441,1410,1382,1313
Cēsu novads,19286,18852,18330,17807,17539,17241,17039,16830,16628,16489,16372
Cēsis,17735,17326,16714,16384,16093,15828,15666,15466,15293,15137,15034
Ciblas novads,3095,2991,2887,2869,2818,2755,2707,2659,2568,2515,2429
Dagdas novads,8881,8596,8309,8194,8014,7819,7647,7460,7253,6992,6777
Dagda,2467,2432,2387,2350,2278,2203,2165,2140,2122,2065,2031
Daugavpils novads,26747,26007,25219,24666,24000,23503,22848,22096,21301,20684,20149
Dobeles novads,23462,22874,22249,21994,21693,21218,20878,20473,20080,19768,19517
Dobele,10899,10630,10333,10168,10023,9880,9710,9486,9272,9119,8995
Dundagas novads,4567,4425,4249,4236,4193,4140,4039,3963,3846,3740,3641
Durbes novads,3278,3184,3056,3018,2969,2921,2854,2777,2729,2681,2626
Durbe,533,554,556,554,543,527,526,520,508,503,500
Engures novads,7715,7648,7587,7472,7430,7321,7204,7289,7225,7080,7054
Ērgļu novads,3443,3322,3207,3140,3059,2988,2943,2929,2804,2747,2689
Garkalnes novads,7030,7375,7757,7818,7868,7817,7858,7944,8121,8344,8557
Grobiņas novads,9701,9556,9368,9198,9144,9051,8929,8765,8615,8479,8394
Grobiņa,4057,4003,3922,3876,3865,3816,3769,3708,3631,3597,3554
Gulbenes novads,24310,23574,22868,22628,22375,21935,21640,21244,20805,20431,20079
Gulbene,8745,8515,8346,8190,8095,7965,7843,7666,7507,7388,7304
Iecavas novads,9319,9226,9079,8986,8894,8756,8703,8572,8455,8424,8359
Ikšķiles novads,8375,8605,8808,8870,8974,9174,9314,9369,9405,9643,9708
Ikšķile,3858,3845,3806,3812,3790,6381,6508,6532,6859,7068,7156
Ilūkstes novads,8608,8353,8026,7895,7786,7537,7450,7210,7022,6820,6615
