|School_Name|Reg_nr|Language|Address|Year|Number_of_students|Active|Y|School_Name_original|cnt_olympiad_entries
0|krustpilspamatskola|1012900275|Latviešu|MADONAS IELA 48, JĒKABPILS, LV-5202|2009|216|1|True|Krustpils pamatskola|0
1|jēkabpilspoļupamatskola|1012900274|Poļu|RŪDOLFA BLAUMAŅA IELA 27, JĒKABPILS, LV-5201|2009|88|1|True|Jēkabpils Poļu pamatskola|0
2|jēkabpilspamatskola|1012902246|Latviešu|RĪGAS IELA 200a, JĒKABPILS, LV-5202|2009|621|1|True|Jēkabpils pamatskola|0
3|jēkabpilsvalstsģimnāzija|1019900257|Latviešu|BLAUMAŅA IELA 27, JĒKABPILS, LV-5200|2009|575|1|True|Jēkabpils Valsts ģimnāzija|0
4|jēkabpils2vidusskola|1013900258|Krievu|JAUNĀ IELA 44, JĒKABPILS, LV-5201|2009|710|1|True|Jēkabpils 2. vidusskola|0
5|jēkabpils3vidusskola|1013900259|Latviešu|SLIMNĪCAS IELA 5, JĒKABPILS, LV-5202|2009|721|1|True|Jēkabpils 3. vidusskola|0
6|dienasapmācībasklasespiejēkabpilsvakaravidusskolas|1014900264|LK|PALEJAS IELA 32, JĒKABPILS, LV-5202|2009|18|1|False|Dienas apmācības klases pie Jēkabpils vakara vidusskolas|0
7|valmieraspārgaujaspamatskola|2512902432|Latviešu|MEŽA IELA 12, VALMIERA, LV-4201|2009|504|1|True|Valmieras Pārgaujas pamatskola|0
8|valmieraspamatskola|2512902507|Latviešu|RĪGAS IELA 42, VALMIERA, LV-4201|2009|415|1|True|Valmieras pamatskola|0
9|valmierasvalstsģimnāzija|2519902526|Latviešu|LEONA PAEGLES IELA 40, VALMIERA, LV-4201|2009|603|1|True|Valmieras Valsts ģimnāzija|3
10|valmieras2vidusskola|2513901058|LK|RAIŅA IELA 11, VALMIERA, LV-4201|2009|327|1|True|Valmieras 2. vidusskola|0
11|valmierasviesturavidusskola|2513900631|Latviešu|VIESTURA ALEJA 3, VALMIERA, LV-4202|2009|777|1|True|Valmieras Viestura vidusskola|1
12|valmieraspārgaujasģimnāzija|2513900630|Latviešu|ZVAIGŽŅU IELA 4, VALMIERA, LV-4201|2009|711|1|True|Valmieras Pārgaujas ģimnāzija|0
13|valmieras5vidusskola|2513901081|Latviešu|RAIŅA IELA 3, VALMIERA, LV-4201|2009|589|1|True|Valmieras 5. vidusskola|0
14|valmierasvājdzirdīgobērnuinternātpamatskola-attīstībascentrs|2520901175|Latviešu|LĀČPLĒŠA IELA 2, VALMIERA, LV-4201|2009|130|1|False|Valmieras vājdzirdīgo bērnu internātpamatskola - attīstības centrs|0
15|daugavpilssaskaņaspamatskola|2712901237|LK|SAULES IELA 7, DAUGAVPILS, LV-5400|2009|452|1|True|Daugavpils Saskaņas pamatskola|0
16|daugavpils7pamatskola|2712901226|Krievu|Šuņu 1, DAUGAVPILS, LV-5405|2009|199|1|False|Daugavpils 7. pamatskola|0
17|daugavpils8pamatskola|2712901225|Krievu|ŪDENS IELA 24, DAUGAVPILS, LV-5408|2009|132|1|False|Daugavpils 8. pamatskola|0
18|daugavpils5pamatskola|2712901236|Krievu|PARĀDES IELA 7, DAUGAVPILS, LV-5400|2009|424|1|False|Daugavpils 5. pamatskola|0
19|daugavpilsvienībaspamatskola|2712902233|Latviešu|ĢIMNĀZIJAS IELA 32, DAUGAVPILS, LV-5401|2009|477|1|True|Daugavpils Vienības pamatskola|0
20|daugavpils11pamatskola|2712902175|Krievu|ARHITEKTU IELA 10, DAUGAVPILS, LV-5410|2009|252|1|True|Daugavpils 11. pamatskola|0
21|daugavpilsvalstsģimnāzija|2719902518|Latviešu|CIETOKŠŅA IELA 33, DAUGAVPILS, LV-5403|2009|354|1|True|Daugavpils Valsts ģimnāzija|0
22|daugavpilskrievuvidusskola-licejs|2713901229|Krievu|TAUTAS IELA 59, DAUGAVPILS, LV-5404|2009|645|1|True|Daugavpils Krievu vidusskola - licejs|6
23|daugavpils3vidusskola|2713901037|Krievu|RAIŅA IELA 30, DAUGAVPILS, LV-5403|2009|656|1|True|Daugavpils 3. vidusskola|0
24|jraiņadaugavpils6vidusskola|2713901222|Krievu|KOMUNĀLĀ IELA 2, DAUGAVPILS, LV-5418|2009|398|1|True|J. Raiņa Daugavpils 6. vidusskola|0
25|daugavpils9vidusskola|2713901238|Krievu|18. NOVEMBRA IELA 47, DAUGAVPILS, LV-5400|2009|642|1|True|Daugavpils 9. vidusskola|0
26|daugavpils10vidusskola|2713900714|Krievu|TAUTAS IELA 11, DAUGAVPILS, LV-5404|2009|880|1|True|Daugavpils 10. vidusskola|0
27|daugavpils12vidusskola|2713901240|Latviešu|KAUŅAS IELA 8, DAUGAVPILS, LV-5404|2009|625|1|True|Daugavpils 12. vidusskola|0
28|daugavpils13vidusskola|2713901135|Krievu|VALKAS IELA 4a, DAUGAVPILS, LV-5417|2009|626|1|True|Daugavpils 13. vidusskola|0
29|daugavpils15vidusskola|2713901176|Krievu|VALKAS IELA 4, DAUGAVPILS, LV-5417|2009|809|1|True|Daugavpils 15. vidusskola|0
30|daugavpils16vidusskola|2713901231|LK|AVEŅU IELA 40, DAUGAVPILS, LV-5421|2009|621|1|True|Daugavpils 16. vidusskola|0
31|daugavpils17vidusskola|2713901235|LK|VARŠAVAS IELA 45, DAUGAVPILS, LV-5400|2009|399|1|True|Daugavpils 17. vidusskola|0
32|daugavpilsvalstspoļuģimnāzija|2713901232|Poļu|VARŠAVAS IELA 2, DAUGAVPILS, LV-5404|2009|271|1|False|Daugavpils valsts poļu ģimnāzija|0
33|daugavpilspilsētascentraģimnāzija|2713902243|LK|KANDAVAS IELA 17, DAUGAVPILS, LV-5400|2009|365|1|True|Daugavpils pilsētas Centra ģimnāzija|0
34|daugavpilslogopēdiskāinternātpamatskola-attīstībascentrs|2720901224|LK|ABAVAS IELA 1, DAUGAVPILS, LV-5417|2009|193|1|True|Daugavpils logopēdiskā internātpamatskola - attīstības centrs|0
35|daugavpils4speciālāpamatskola|2720901333|Krievu|ARHITEKTU IELA 10, DAUGAVPILS, LV-5410|2009|60|1|True|Daugavpils 4. speciālā pamatskola|0
36|daugavpils1speciālāpamatskola|2720901223|LK|18.Novembra 197b, DAUGAVPILS, LV-5400|2009|136|1|True|Daugavpils 1. speciālā pamatskola|0
37|vispārējāsvidējāsizglītībasizlīdzinošāprogrammapiedaugavpils1arodvidusskolas|2731001060|Krievu|Mendeļejeva 1, DAUGAVPILS, LV-5410|2009|35|1|True|Vispārējās vidējās izglītības izlīdzinošā programma pie Daugavpils 1. arodvidusskolas|0
38|pamatskolasklasespiedaugavpilsmūzikasvidusskolas|2731301245|LK|KANDAVAS IELA 2a, DAUGAVPILS, LV-5401|2009|29|1|True|Pamatskolas klases pie Daugavpils Mūzikas vidusskolas|0
39|jelgavas2pamatskola|2812900143|Krievu|SARMAS IELA 2, JELGAVA, LV-3000|2009|509|1|True|Jelgavas 2. pamatskola|0
40|jelgavas4pamatskola|2812900145|Latviešu|PULKVEŽA OSKARA KALPAKA IELA 34, JELGAVA, LV-3001|2009|984|1|True|Jelgavas 4. pamatskola|0
41|jelgavas3pamatskola|2812900144|Latviešu|UZVARAS IELA 10, JELGAVA, LV-3000|2009|802|1|True|Jelgavas 3. pamatskola|0
42|jelgavas1ģimnāzija|2813900135|Latviešu|MEIJU CEĻŠ 9, JELGAVA, LV-3007|2009|678|1|True|Jelgavas 1. ģimnāzija|0
43|jelgavasvalstsģimnāzija|2819902423|Latviešu|MĀTERA IELA 44, JELGAVA, LV-3000|2009|826|1|True|Jelgavas Valsts ģimnāzija|1
44|jelgavas4vidusskola|2813900137|Latviešu|AKMEŅU IELA 1, JELGAVA, LV-3004|2009|936|1|True|Jelgavas 4. vidusskola|0
45|jelgavas5vidusskola|2813900138|Krievu|ASPAZIJAS IELA 20, JELGAVA, LV-3000|2009|752|1|True|Jelgavas 5. vidusskola|1
46|jelgavas6vidusskola|2813900139|Krievu|LOKA MAĢISTRĀLE 29, JELGAVA, LV-3004|2009|585|1|True|Jelgavas 6. vidusskola|0
47|jelgavasspīdolasģimnāzija|2813900140|Latviešu|MĀTERA IELA 30, JELGAVA, LV-3001|2009|432|1|True|Jelgavas Spīdolas ģimnāzija|0
48|"lazdiņasprivātāvidusskola""punktiņš"""|2813800019|Latviešu|JĀŅA ASARA IELA 12, JELGAVA, LV-3001|2009|29|1|True|"Lazdiņas privātā vidusskola ""Punktiņš"""|0
