school,year,cnt_olympiad_entries
Rīgas Valsts 1.ģimnāzija,2008_09,31
Liepājas Valsts 1.ģimnāzija,2008_09,1
Rīgas pilsētas 2.ģimnāzija,2008_09,3
Daugavpils Krievu vidusskola-licejs,2008_09,6
Preiļu Valsts ģimnāzija,2008_09,3
Dobeles Valsts ģimnāzija,2008_09,3
Rīgas 71.vidusskola,2008_09,1
Rīgas 40.vidusskola,2008_09,4
Rīgas Herdera vidusskola,2008_09,1
Rīgas 10.vidusskola,2008_09,1
Madonas Valsts ģimnāzija,2008_09,1
Valmieras Valsts ģimnāzija,2008_09,3
Gulbenes novada Valsts ģimnāzija,2008_09,1
Rīgas Zolitūdes ģimnāzija,2008_09,2
Cēsu Valsts ģimnāzija,2008_09,2
Liepājas pilsētas 12.vidusskola,2008_09,2
Draudzīgā Aicinājuma Cēsu Valsts ģimnāzija,2008_09,4
Grobiņas ģimnāzija,2008_09,1
Liepājas 15.vidusskola,2008_09,1
Baldones vidusskola,2008_09,1
Rīgas Purvciema vidusskola,2008_09,1
Jaunjelgavas vidusskola,2008_09,1
Siguldas Valsts ģimnāzija,2008_09,2
Rīgas 88.vidusskola,2008_09,1
Valmieras Viestura vidusskola,2008_09,1
Jelgavas Valsts ģimnāzija,2008_09,1
Dagdas vidusskola,2008_09,1
Jelgavas 5.vidusskola,2008_09,1
Saldus pilsētas ģimnāzija,2008_09,1
Ludzas pilsētas ģimnāzija,2008_09,1
Rēzeknes 5.vidusskola,2008_09,1
Rīgas Klasiskās ģimnāzija,2008_09,1
Brocēnu vidusskola,2008_09,1
Rīgas Franču licejs,2008_09,1
Saldus pilsētas 2.vidusskola,2008_09,1
Jaunogres vidusskola,2008_09,1
Limbažu 1.vidusskola,2008_09,1
Balvu pilsētas ģimnāzija,2008_09,1
Rīgas 13.vidusskola,2008_09,1
E.Glika Alūksnes Valsts ģimnāzija,2008_09,1
Rīgas 61.vidusskola,2008_09,1
Rīgas Valsts 1.ģimnāzija,2009_10,62
Liepājas Valsts 1.ģimnāzija,2009_10,2
Rīgas pilsētas 2.ģimnāzija,2009_10,6
Daugavpils Krievu vidusskola-licejs,2009_10,12
Preiļu Valsts ģimnāzija,2009_10,6
Dobeles Valsts ģimnāzija,2009_10,6
Rīgas 71.vidusskola,2009_10,2
Rīgas 40.vidusskola,2009_10,8
Rīgas Herdera vidusskola,2009_10,2
Rīgas 10.vidusskola,2009_10,2
Madonas Valsts ģimnāzija,2009_10,2
Valmieras Valsts ģimnāzija,2009_10,6
Gulbenes novada Valsts ģimnāzija,2009_10,2
Rīgas Zolitūdes ģimnāzija,2009_10,4
Cēsu Valsts ģimnāzija,2009_10,4
Liepājas pilsētas 12.vidusskola,2009_10,4
Draudzīgā Aicinājuma Cēsu Valsts ģimnāzija,2009_10,8
Grobiņas ģimnāzija,2009_10,2
Liepājas 15.vidusskola,2009_10,2
Baldones vidusskola,2009_10,2
Rīgas Purvciema vidusskola,2009_10,2
Jaunjelgavas vidusskola,2009_10,2
Siguldas Valsts ģimnāzija,2009_10,4
Rīgas 88.vidusskola,2009_10,2
Valmieras Viestura vidusskola,2009_10,2
Jelgavas Valsts ģimnāzija,2009_10,2
Dagdas vidusskola,2009_10,2
Jelgavas 5.vidusskola,2009_10,2
Saldus pilsētas ģimnāzija,2009_10,2
Ludzas pilsētas ģimnāzija,2009_10,2
Rēzeknes 5.vidusskola,2009_10,2
Rīgas Klasiskās ģimnāzija,2009_10,2
Brocēnu vidusskola,2009_10,2
Rīgas Franču licejs,2009_10,2
Saldus pilsētas 2.vidusskola,2009_10,2
Jaunogres vidusskola,2009_10,2
Limbažu 1.vidusskola,2009_10,2
Balvu pilsētas ģimnāzija,2009_10,2
Rīgas 13.vidusskola,2009_10,2
E.Glika Alūksnes Valsts ģimnāzija,2009_10,2
Rīgas 61.vidusskola,2009_10,2
Rīgas Valsts 1.ģimnāzija,2010_11,28
Rīgas 88.vidusskola,2010_11,1
Jēkabpils Valsts ģimnāzija,2010_11,1
Preiļu Valsts ģimnāzija,2010_11,1
Daugavpils Krievu vidusskola–licejs,2010_11,6
Rīgas 71.vidusskola,2010_11,1
Rīgas Zolitūdes ģimnāzija,2010_11,4
Rīgas 40.vidusskola,2010_11,5
Siguldas Valsts ģimnāzija,2010_11,3
Jelgavas 2.pamatskola,2010_11,1
Valmieras Valsts ģimnāzija,2010_11,4
Puškina licejs,2010_11,1
Rīgas 34.vidusskola,2010_11,2
Daugavpils 10.vidusskola,2010_11,1
Liepājas Valsts 1.ģimnāzija,2010_11,1
Dobeles Valsts ģimnāzija,2010_11,5
Rīgas Ostvalda vidusskola,2010_11,1
Rīgas 64.vidusskola,2010_11,2
Ogres 1.vidusskola,2010_11,1
Neretas J.Jaunsudrabiņa vidusskola,2010_11,1
Smiltenes ģimnāzija,2010_11,2
Rīgas Klasiskās ģimnāzija,2010_11,1
