cnt_olympiad_entries,school,year
1,Grobiņas ģimnāzija,2008
1,Rīgas 64.vidusskola,2014
1,Daugavpils Valsts ģimnāzija,2015
1,Dagdas vidusskola,2008
1,Valmieras Valsts ģimnāzija,2011
33,Rīgas Valsts 1.ģimnāzija,2011
1,Jelgavas 5.vidusskola,2008
2,Cēsu Valsts ģimnāzija,2012
1,Rīgas 65.vidusskola,2011
1,Saldus pilsētas ģimnāzija,2008
2,Rīgas 64.vidusskola,2010
1,Preiļu Valsts ģimnāzija,2010
2,Rīgas 40.vidusskola,2013
2,Rudzātu vidusskola,2012
1,Smiltenes ģimnāzija,2014
6,Valmieras Valsts ģimnāzija,2009
31,Rīgas Valsts 1.ģimnāzija,2008
1,Ogres 1.vidusskola,2012
1,Rīgas 95.vidusskola,2011
1,Jelgavas Valsts ģimnāzija,2014
2,Rīgas Ostvalda vidusskola,2011
1,Cēsu Valsts ģimnāzija,2010
6,Daugavpils Krievu vidusskola-licejs,2012
1,J.Čakstes Liepājas pilsētas 10.vidusskola,2015
1,Rīgas 71.vidusskola,2010
1,Jelgavas Tehnoloģiju vidusskola,2013
1,Rīgas 41.vidusskola,2011
2,E.Glika Alūksnes Valsts ģimnāzija,2009
1,Rīgas Juglas vidusskola,2013
2,Madonas Valsts ģimnāzija,2009
1,Liepājas A.Puškina 2.vidusskola,2014
1,Jelgavas Valsts ģimnāzija,2015
2,Siguldas Valsts ģimnāzija,2008
1,Rīgas Valsts 3.ģimnāzija,2011
1,Rīgas Purvciema vidusskola,2018
4,Siguldas Valsts ģimnāzija,2009
2,Rīgas 10.vidusskola,2015
1,Saldus pilsētas 2.vidusskola,2008
1,Līvānu 1.vidusskola,2015
1,Jelgavas Spīdolas ģimnāzija,2012
1,Liepājas Valsts 1.ģimnāzija,2011
2,Valmieras Valsts ģimnāzija,2014
1,Ludzas pilsētas ģimnāzija,2010
1,ISMA vidusskola „Premjers”,2013
2,Valmieras Viestura vidusskola,2009
1,Rīgas Angļu ģimnāzija,2013
1,Jaunjelgavas vidusskola,2008
1,Rīgas Doma kora skola,2014
6,Rīgas pilsētas 2.ģimnāzija,2009
4,Rīgas Valsts 1.ģimnāzija,2017
1,Rīgas Valsts 3. ģimnāzija,2018
4,Rīgas Zolitūdes ģimnāzija,2012
3,Dobeles Valsts ģimnāzija,2008
1,Puškina licejs,2013
1,Viļakas Valsts ģimnāzija,2014
1,Rudzātu vidusskola,2015
